Test data for UserID: 88bbbd14-55e2-4484-a60e-0cb0c3e1902d
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5370405,0.28065974,0.0010101995,0.0040162755,0.22960824,0.7657898,0.5989209,0.0548,0.8008082,0.64309096
0.45777008,0.13335817,1.7653979E-6,4.8416742E-4,0.02773986,0.12410038,0.09652986,0.058,0.9953301,0.9922697
0.6337718,0.2129713,2.2770803E-4,0.0024487847,0.14018998,0.6848757,0.5762462,0.0465,0.8172762,0.72865987
0.44630495,0.0996611,9.3470175E-7,3.9178575E-4,0.022447199,0.10979179,0.08745404,0.0655,0.99616855,0.9939546
0.44440788,0.058903046,6.104209E-7,3.3905345E-4,0.019426027,0.103762455,0.08442262,0.343,0.99643004,0.9946021
0.5223007,0.12339454,3.0862927E-6,5.8252463E-4,0.033374652,0.11875972,0.08555973,0.0475,0.99633306,0.992923
0.55458426,0.13865963,5.183363E-7,3.2213467E-4,0.018456696,0.10888259,0.09051786,0.0381,0.99589485,0.9940546
0.5197186,0.105188556,2.8047173E-9,3.749988E-5,0.0021485845,0.100319244,0.09818127,0.0327,0.99516857,0.9949553
0.4581701,0.11290999,1.1890277E-7,1.9705587E-4,0.01129041,0.11313635,0.101911396,0.056,0.9947935,0.99357945
0.44465765,0.12874715,6.214544E-8,1.5898477E-4,0.0091091255,0.11452401,0.10547016,0.0486,0.9944225,0.9934205
0.4625309,0.117821686,1.3266194E-6,4.4017995E-4,0.025219785,0.1334138,0.108379036,0.0538,0.99410963,0.99106044
0.45600542,0.058621533,6.4997954E-7,3.4591023E-4,0.019818872,0.12798068,0.10830061,0.1132,0.9941182,0.99177665
0.4849737,0.09718363,7.2231745E-7,3.5951342E-4,0.020598236,0.14076047,0.12033853,0.0443,0.99273294,0.9900437
0.53396463,0.11435917,3.6649057E-4,0.0028650733,0.16397235,0.70584023,0.58058906,0.0506,0.81419677,0.7083711
0.5126012,0.11056519,1.0994014E-6,4.1277002E-4,0.023649428,0.13216032,0.10868301,0.0636,0.99407643,0.99122834
0.48453423,0.079474986,0.013023922,0.0012760623,0.07309671,0.6380163,0.5800632,0.1525,0.81457144,0.77002287
0.46857747,0.041119244,8.470043E-7,3.7891112E-4,0.021709582,0.12316645,0.10159441,0.0878,0.9948259,0.99238604
0.45185092,0.057825226,0.019639818,0.00838489,0.47581208,0.12103283,0.5660852,0.2224,0.8243467,0.9926485
0.44748133,0.03490665,3.1517445E-7,2.7193804E-4,0.0155807445,0.12548439,0.11001204,0.1047,0.9939303,0.9920956
