Test data for UserID: 4d9b895a-1567-4d8f-b86f-2be81e582d0d
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5229767,0.12978901,4.320111E-6,8.1253715E-4,0.046550747,0.64757407,0.6823346,0.1003,0.73104,0.76200247
0.7496191,0.29581907,0.0017686113,0.0048556654,0.27731276,0.8261459,0.63963526,0.0357,0.76867855,0.5634563
0.5397991,0.17909679,0.004845422,0.006829972,0.38883635,0.5751598,0.8436942,0.0295,0.5368241,0.8180411
0.62584865,0.14729232,1.9210567E-4,0.0023150698,0.13254651,0.718218,0.6198835,0.0305,0.7846939,0.6958181
0.6155393,0.13964057,3.6418223E-4,0.0028673531,0.16410254,0.7572681,0.64025694,0.0296,0.7681608,0.6531041
0.5456231,0.11544378,2.5547878E-4,0.0025407989,0.14544854,0.77194154,0.67156035,0.0359,0.74094987,0.63569355
0.6879884,0.12405839,6.3161936E-4,0.003438022,0.19666582,0.7698602,0.6300658,0.0337,0.77654177,0.63821256
0.55689466,0.058243036,3.308519E-5,0.0012856182,0.07364385,0.69091713,0.63584006,0.0348,0.77182084,0.72293395
0.5256825,0.06933843,1.7659638E-4,0.0022445458,0.12851441,0.729603,0.63587236,0.0474,0.77179426,0.6838709
0.4997841,0.103518225,6.4870476E-4,0.0034668222,0.19830789,0.79833746,0.6638052,0.0381,0.7479055,0.60221034
0.6715788,0.10786391,5.539383E-4,0.0032974703,0.18865025,0.7982995,0.67098415,0.0295,0.7414717,0.60226065
0.57180303,0.12971395,5.485884E-4,0.0032799677,0.18765189,0.7881674,0.65930754,0.0358,0.7518734,0.6154609
0.48879147,0.056025084,1.4009405E-4,0.0020789716,0.11904589,0.7155969,0.6275185,0.0402,0.77860165,0.6985135
0.5132375,0.035722863,2.4728922E-6,5.4180564E-4,0.031041931,0.65207416,0.62822825,0.0423,0.7780291,0.75815517
0.8749768,0.43060926,8.292354E-4,0.0037690355,0.21553046,0.8060401,0.6604973,0.0306,0.7508284,0.5918609
0.44100487,0.23587686,6.410142E-4,0.0034544496,0.19760247,0.7528103,0.6086799,0.0359,0.7934159,0.6582376
0.5714334,0.12140432,6.9710455E-4,0.0035525083,0.20319255,0.76629335,0.6206004,0.0401,0.784127,0.64249086
0.5629536,0.11574869,8.82328E-4,0.0038435692,0.21977557,0.77216846,0.6147165,0.0443,0.78874815,0.6354179
0.65766466,0.19604987,0.0016009721,0.004697719,0.26834774,0.83199346,0.6545081,0.0358,0.756055,0.5547854
0.92207813,0.3279737,0.0018893424,0.0049585938,0.28315195,0.84747314,0.6647062,0.0296,0.7471049,0.53083825
0.7045012,0.17482652,0.0015485181,0.0046431585,0.26524958,0.83349764,0.65891445,0.0348,0.7522179,0.552523
0.58525115,0.19991691,0.0026275036,0.005547236,0.31649712,0.8556994,0.6511265,0.0284,0.7589692,0.51747316
0.6245797,0.27332002,0.0047852197,0.0067743976,0.38571244,0.6202093,0.87096053,0.0253,0.49135298,0.7844364
0.5504405,0.15149657,9.4795093E-4,0.0039604604,0.22643112,0.6389073,0.79559845,0.0157,0.60582435,0.7692837
0.69099975,0.27432838,1.3138232E-4,0.002062199,0.118086584,0.72866696,0.64285386,0.0262,0.7659888,0.6848682
0.6517536,0.17119113,2.7164852E-4,0.0026065472,0.1492054,0.74321234,0.63539106,0.0231,0.7721906,0.6690556
0.5417177,0.1347588,8.0986545E-5,0.0017372029,0.09949331,0.6670677,0.5897356,0.0307,0.8075963,0.7449971
0.7141739,0.19328687,6.102462E-4,0.0034048301,0.1947732,0.7780998,0.6415771,0.0283,0.76705855,0.6281407
0.5177071,0.100011416,3.9494853E-6,6.3408964E-4,0.036328662,0.6655099,0.6379599,0.0422,0.7700696,0.74638903
0.5127717,0.06618716,1.3961091E-4,0.0020794296,0.11907209,0.69724435,0.60709804,0.0422,0.7946269,0.71683353
0.6066483,0.12053188,1.3237377E-4,0.002046703,0.117200255,0.70131785,0.61309874,0.0369,0.7900063,0.7128487
0.630451,0.1208815,5.1108982E-5,0.0014892946,0.08530441,0.687039,0.62261176,0.0317,0.7825309,0.72662055
