Test data for UserID: 9b6551ab-fb4c-4fa1-84fc-a3c150e3b8c0
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.76024354,0.5309596,0.003206962,0.005916807,0.33738703,0.44326535,0.7161331,0.0358,0.6979637,0.89639044
0.45228747,0.14621633,7.7478774E-4,0.0036741435,0.21012442,0.6804701,0.512326,0.0981,0.85879105,0.7327758
0.48379752,0.0952379,4.9741234E-4,0.0031715073,0.18146408,0.6659583,0.5201817,0.0685,0.85405564,0.74598897
0.5145894,0.21657701,9.2564774E-4,0.003903536,0.22319026,0.6981266,0.521938,0.0474,0.8529834,0.71597433
0.5508285,0.44610703,8.694583E-4,0.0038202477,0.21844737,0.6966407,0.52423817,0.0611,0.8515717,0.7174202
0.5808903,0.27458742,0.0018252993,0.004910182,0.28040582,0.7335461,0.51601505,0.0347,0.8565795,0.6796397
0.5233521,0.16469353,8.053174E-4,0.0037389772,0.21381819,0.68523836,0.51473904,0.0348,0.8573469,0.7283189
0.43698072,0.2715013,8.6403E-5,0.0017786324,0.10186404,0.63668376,0.5549326,0.0283,0.83189535,0.771125
0.56399286,0.18776275,0.0020534804,0.0050896644,0.2905841,0.7445484,0.5211875,0.0548,0.8534422,0.6675685
0.46215484,0.1350007,7.7749015E-4,0.0036865103,0.21082905,0.70075756,0.53561634,0.041,0.84446144,0.71339947
0.5105317,0.099376865,4.6433436E-4,0.0031038905,0.17760555,0.68738973,0.54806507,0.0463,0.83643574,0.72628874
0.4683435,0.15860324,0.0012149735,0.004279059,0.24455844,0.72780406,0.53958356,0.041,0.84193206,0.6857851
0.49078915,0.1647754,5.5854715E-4,0.0033015679,0.18888399,0.71129745,0.5664374,0.0401,0.8241047,0.7028911
0.5032724,0.1579129,0.001135208,0.0041826377,0.23907444,0.73084986,0.54795605,0.039,0.83650714,0.6825382
