Test data for UserID: f44eebf1-5eb7-4c1b-9742-5025df72f15a
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5701811,0.14838633,0.001387094,0.004462784,0.25500268,0.7945158,0.61509866,0.0729,0.7884501,0.6072435
0.6101005,0.1667932,0.0016757364,0.004753654,0.27152324,0.79951423,0.6084625,0.0633,0.7935826,0.60064715
0.5527183,0.19205575,0.0011066928,0.00413934,0.23661126,0.7766714,0.6069343,0.058,0.794752,0.629906
0.52652013,0.12036924,7.802363E-4,0.0036836546,0.21066634,0.75532174,0.601268,0.0558,0.79904747,0.6553542
0.5609778,0.11392822,7.583945E-4,0.0036528972,0.2089138,0.75488925,0.60214865,0.0411,0.798384,0.6558523
0.5829126,0.15350378,4.5163193E-4,0.003074408,0.17592296,0.73132586,0.6004896,0.0484,0.79963255,0.68202823
0.50372756,0.11292531,6.480993E-4,0.0034636136,0.19812496,0.74530345,0.5992304,0.0517,0.8005766,0.6667254
0.54959476,0.101244554,1.9618709E-4,0.0023246645,0.13309503,0.69410896,0.5923624,0.0592,0.80567163,0.71987
0.58649313,0.1423012,1.4417565E-4,0.0020978423,0.12012516,0.68422174,0.5918391,0.0527,0.80605614,0.72927403
0.5688742,0.14694673,1.7758201E-4,0.0022494188,0.12879302,0.69323325,0.5948535,0.0538,0.8038341,0.72071326
0.5284855,0.26140678,0.004898812,0.006804095,0.38738194,0.8513175,0.58804977,0.1479,0.8088248,0.5246508
0.519355,0.107981205,3.8985672E-4,0.0029228362,0.16727057,0.74253595,0.62050176,0.1542,0.784205,0.6698062
0.5356638,0.15066087,7.6825597E-4,0.003666839,0.20970823,0.7600414,0.60779625,0.0581,0.794093,0.6498746
0.5706227,0.19534591,8.144692E-4,0.003739166,0.21382895,0.7582582,0.60231566,0.0602,0.798258,0.65195435
0.66488606,0.28988162,0.0014426559,0.004526992,0.25865105,0.7895237,0.6057077,0.0464,0.79568726,0.61372006
1.5173395,0.79240865,3.8218204E-4,0.0029857226,0.17086078,0.7149976,0.5855443,0.0126,0.8106404,0.6991269
1.4177502,0.76595837,0.0029293227,0.0058226516,0.3320684,0.8251207,0.5946277,0.0126,0.8040012,0.5649565
0.594267,0.19731463,4.869031E-4,0.0031550948,0.18052757,0.56065524,0.7003948,0.0252,0.7137556,0.8280493
0.73397785,0.18237573,0.0012738536,0.0043473667,0.24844232,0.5462169,0.73585397,0.0295,0.67714024,0.83764374
0.5833819,0.17513464,4.0858664E-4,0.002973228,0.17014751,0.5846675,0.71374005,0.0401,0.70041066,0.811273
0.5648132,0.16776907,0.0014076094,0.004487179,0.25638896,0.6086863,0.79042363,0.0464,0.61256063,0.79341096
0.6784326,0.17496675,9.7405864E-4,0.003970291,0.22699074,0.61619943,0.7779452,0.0454,0.62833214,0.78759015
0.68645805,0.16507477,0.0012416499,0.004304582,0.24600974,0.585923,0.7660369,0.0453,0.6427965,0.8103667
0.5414774,0.14190586,3.3581126E-4,0.00278222,0.15924072,0.6575962,0.7688451,0.0453,0.6394351,0.7533706
0.57850057,0.12988053,0.0023422735,0.0053231884,0.30381545,0.5873573,0.8032823,0.0506,0.59559846,0.8093278
0.6138101,0.121903755,5.748877E-4,0.003334085,0.19073868,0.56055224,0.7075898,0.04,0.70662344,0.82811904
0.5664433,0.12097152,9.4096427E-4,0.0039286865,0.22462223,0.5945497,0.75901747,0.0517,0.6510703,0.80405885
0.50808084,0.17868604,0.0032730394,0.005951029,0.33931953,0.5576889,0.8031524,0.0455,0.5957737,0.83005005
0.4988874,0.083413444,0.0018857507,0.004954529,0.2829214,0.56276214,0.77175546,0.0464,0.6359194,0.8266189
0.56712854,0.13949414,0.0012538563,0.00431748,0.24674313,0.5626222,0.7479231,0.0453,0.66378546,0.82671416
0.5111531,0.13137335,7.9386367E-4,0.003718819,0.2126698,0.63480693,0.78384334,0.0412,0.6209586,0.7726708
0.9184437,0.721587,7.303657E-4,0.0036865922,0.21083371,0.7045294,0.54008126,0.0137,0.8416129,0.7096748
0.58020717,0.14821844,0.001416158,0.0044970815,0.2569516,0.5908237,0.77691007,0.0475,0.62961155,0.8068007
0.89480424,0.2457517,0.0036133481,0.0061628837,0.35127562,0.5443513,0.80085576,0.0295,0.59885734,0.83885735
0.6626511,0.2146927,0.0011757588,0.0042244275,0.24145149,0.59595835,0.77105767,0.0486,0.63676536,0.80301535
0.55112016,0.14490025,0.0019823976,0.0050299694,0.28719968,0.5702116,0.78018373,0.0527,0.62555045,0.82149786
0.59137464,0.30379313,0.0027163008,0.005600196,0.31949288,0.54345304,0.7804672,0.0252,0.6251967,0.8394396
0.58254933,0.16424409,0.0016744536,0.004753993,0.2715425,0.575313,0.77414954,0.056,0.63300276,0.8179334
0.6360355,0.21636245,0.0013137126,0.004390166,0.25087538,0.55880135,0.7476244,0.0357,0.6641218,0.82930154
0.5450493,0.18734488,0.0014468769,0.004540274,0.25940564,0.56146413,0.75541854,0.0242,0.6552426,0.82750106
0.55962825,0.21005157,0.0011449399,0.0041999915,0.24006157,0.5621063,0.7430204,0.0242,0.6692687,0.827065
0.5614292,0.16203845,8.300042E-4,0.0037614948,0.21510091,0.5527836,0.7182046,0.0379,0.69583195,0.83332485
0.654073,0.17914528,8.406613E-4,0.0038048523,0.21757054,0.56360334,0.7289203,0.0158,0.68459857,0.8260456
