Test data for UserID: 91ee8879-1fea-4ee3-8afd-606e6b07bcb1
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5740308,0.18333815,0.0029805177,0.0057628974,0.32869178,0.76475614,0.5145417,0.0675,0.8574654,0.64431983
0.60588115,0.14298977,0.0042649237,0.006501652,0.37036705,0.7719623,0.48765802,0.0369,0.8730347,0.63566834
0.5849024,0.19659969,0.005293469,0.0069846185,0.39752403,0.78033197,0.4750381,0.0643,0.87996525,0.6253655
0.5493995,0.1238632,0.0012192203,0.0042738644,0.24426302,0.6985091,0.50418466,0.0834,0.86359584,0.71560115
0.5833473,0.14560018,0.0057560606,0.0071906536,0.40908647,0.8154416,0.51541996,0.0453,0.85693777,0.5788393
0.60637033,0.21207005,0.007392883,0.0078163305,0.44410956,0.8060323,0.47025073,0.0464,0.88253284,0.5918715
0.6048363,0.15267621,0.0055705393,0.0071103508,0.40458164,0.796754,0.49210963,0.0792,0.8705332,0.6043038
0.534624,0.14291447,0.00353644,0.006102943,0.34789413,0.78208995,0.52127105,0.0844,0.8533912,0.6231656
0.7165448,0.2515503,9.0784515E-4,0.0038892853,0.22237885,0.6723418,0.4921242,0.0199,0.870525,0.7402408
0.47159445,0.13805926,0.003225919,0.0059249317,0.33784586,0.43596452,0.7107637,0.0348,0.70343083,0.89996386
0.39846382,0.17587565,0.003895592,0.0063145864,0.3598291,0.45405677,0.7400283,0.0463,0.6725757,0.89097273
0.4930697,0.18078983,0.008995931,0.008367663,0.4748533,0.37222552,0.7583887,0.0455,0.6518026,0.9281423
0.48878714,0.08402758,0.0050920933,0.0069075734,0.39319682,0.43627632,0.7494501,0.0716,0.66206086,0.89981276
0.4985348,0.039791778,0.0071121072,0.007734854,0.43955666,0.41519177,0.76518464,0.0655,0.64381087,0.9097339
0.46401396,0.0820723,0.0011431333,0.004223469,0.24139698,0.50993043,0.7012083,0.0253,0.7129564,0.86021566
0.6890399,0.09885369,2.8063124E-4,0.0026313202,0.1506208,0.8310138,0.7380422,0.1403,0.6747546,0.5562518
0.58927625,0.116373554,0.0058470685,0.0072239153,0.41095173,0.8332924,0.54058886,0.0527,0.84128696,0.5528325
0.6644805,0.11175309,8.1946293E-4,0.0037472458,0.21428923,0.7200621,0.55568814,0.0358,0.8313908,0.69390965
0.6361372,0.19041136,0.0034957805,0.0060786605,0.34652397,0.7876449,0.5300807,0.0643,0.84794724,0.6161294
0.6212313,0.24585219,0.0028559004,0.00568383,0.32422233,0.78286946,0.5426636,0.0443,0.83995014,0.62218595
0.6446848,0.24897537,0.0043440117,0.0065453965,0.37282977,0.7897201,0.5101241,0.038,0.8601008,0.61346734
0.51053643,0.090278745,0.0019112091,0.0049672667,0.28364387,0.73560286,0.51580995,0.0728,0.85670304,0.67741305
0.7303516,0.16149974,1.9573828E-4,0.002326332,0.13319036,0.65194005,0.5453873,0.0336,0.8381842,0.7582705
0.6967931,0.2204808,0.001962161,0.0050142393,0.28630775,0.7421465,0.52181107,0.0412,0.8530611,0.67023766
0.5872237,0.12484232,0.0018470848,0.0049117026,0.2804921,0.745475,0.53103995,0.0516,0.8473468,0.6665336
0.5709861,0.16509448,0.002206877,0.005214549,0.29766166,0.73940545,0.50847703,0.0453,0.8610756,0.67326045
0.47600153,0.104041725,0.0029316964,0.005737572,0.3272604,0.5082527,0.7590765,0.0633,0.65100145,0.861208
0.5554607,0.17687517,0.0021308654,0.0051585985,0.29449123,0.52611196,0.75100845,0.0432,0.66029257,0.8504153
0.5899809,0.34258318,0.0027218522,0.005606717,0.3198617,0.4855637,0.7367486,0.0579,0.6761668,0.8742013
0.588041,0.31592873,0.007516983,0.007867933,0.4469919,0.44963533,0.7938757,0.0591,0.6080801,0.8932122
0.6530503,0.29210067,0.004442411,0.0065908106,0.37538588,0.44907197,0.7468763,0.058,0.664963,0.89349556
0.635433,0.24730058,0.0024621272,0.005422059,0.30941334,0.49342337,0.7356883,0.0452,0.67732024,0.86978924
0.77176994,0.28020054,0.0013952914,0.0044926056,0.2566973,0.54308146,0.73894954,0.0379,0.6737608,0.83968
0.55464125,0.20615947,0.0030014052,0.0057834703,0.32985443,0.76445055,0.5131237,0.2004,0.8583147,0.64468235
0.7241305,0.21158615,0.006724616,0.0075739734,0.43055964,0.8374429,0.53002554,0.039,0.8479817,0.5465249
0.56543523,0.15161164,0.0014153431,0.0044919564,0.2566604,0.71183544,0.5096156,0.1299,0.8604022,0.70234627
0.52503246,0.12610184,0.0017369451,0.004810899,0.2747724,0.74517554,0.53554577,0.1097,0.8445062,0.6668683
0.6034534,0.13043982,0.0024849875,0.005433413,0.31005606,0.73791844,0.49572483,0.039,0.86847967,0.67488986
0.5356437,0.080500655,0.0018848001,0.00494418,0.28233442,0.7332364,0.51395476,0.095,0.8578173,0.67997384
0.80213994,0.42359394,0.0028658365,0.005687272,0.32441694,0.7928338,0.55601877,0.0675,0.8311697,0.60943794
0.6603477,0.21648915,0.0022204127,0.005221663,0.2980647,0.7748102,0.55406183,0.0823,0.8324755,0.6321939
0.56941855,0.1258429,7.1721E-4,0.0035801718,0.20476928,0.6908096,0.529049,0.0749,0.84859127,0.7230367
0.7321511,0.19912398,1.5530501E-4,0.002150941,0.12316187,0.6640666,0.56712,0.0336,0.82363516,0.7476734
0.50339293,0.1751246,0.003582503,0.0061324574,0.34955928,0.47365898,0.7478414,0.0549,0.66387737,0.88070834
0.56779844,0.12504096,0.0023131308,0.005299473,0.30247238,0.47869074,0.71930426,0.0621,0.6946951,0.87798357
0.48672646,0.14699979,0.0038118477,0.006268065,0.35720676,0.4534365,0.7377632,0.0443,0.67505956,0.8912886
0.7886923,0.26448864,0.0039670765,0.006361658,0.36248177,0.8068751,0.54328644,0.0252,0.8395474,0.5907221
0.7058608,0.17351983,0.0028366323,0.0056823655,0.32413954,0.7875533,0.54907155,0.0284,0.8357753,0.6162465
