Test data for UserID: 7a9f222b-2e93-49eb-9497-7f0ffad8ac59
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.47370866,0.036791902,0.0014663631,0.004548011,0.2598452,0.88161814,0.730257,0.0517,0.6831725,0.47196335
0.46371663,0.026977481,0.0012095069,0.0042639123,0.24369708,0.89234287,0.7566705,0.0506,0.65379643,0.45135817
0.47983262,0.023713142,0.0017851787,0.004857561,0.27742034,0.8948826,0.73783034,0.0422,0.6749862,0.4463016
0.47391132,0.03722595,0.0016492091,0.0047313655,0.27025798,0.8882332,0.7327793,0.0411,0.68046635,0.4593929
0.48292068,0.025244107,0.0013257936,0.004397813,0.25131008,0.90369076,0.7683991,0.0411,0.6399709,0.42818576
0.48118153,0.038809948,0.0010829254,0.004109818,0.23493159,0.9071557,0.78394777,0.0475,0.6208268,0.42079517
0.4660822,0.034042105,0.0012320481,0.004289642,0.24516024,0.8896112,0.7517519,0.0664,0.659446,0.45671868
0.48494267,0.02888065,0.0021142876,0.005139489,0.29340824,0.8954025,0.7276318,0.0443,0.68596786,0.44525766
0.4757062,0.029331878,0.0015350219,0.00461713,0.26377133,0.87827855,0.7227049,0.0517,0.69115674,0.47814932
0.4615077,0.033179853,0.0015888121,0.0046706386,0.2668101,0.88135684,0.725058,0.0495,0.6886878,0.47245118
0.4729729,0.02742392,0.0014892233,0.004571857,0.26119983,0.89163417,0.74397105,0.0441,0.6682119,0.45275664
0.45654705,0.029624565,0.0019728616,0.00501986,0.28662646,0.88402337,0.7151117,0.0717,0.69901025,0.46744266
0.48314345,0.027820854,4.595243E-4,0.0030904957,0.17684111,0.86237645,0.75971377,0.0358,0.65025765,0.50626755
0.50441164,0.053953193,0.001185046,0.0042354465,0.2420782,0.8416411,0.68721014,0.0505,0.72645867,0.5400373
0.46186545,0.039914254,0.0015340762,0.004617295,0.2637807,0.8454062,0.67633355,0.0442,0.7365955,0.53412396
0.4668119,0.04850121,6.762502E-4,0.0035255502,0.2016559,0.6360964,0.7779696,0.0274,0.6283019,0.7716096
0.48144826,0.038783006,0.001152315,0.00420123,0.24013202,0.85558224,0.7075052,0.0347,0.70670813,0.5176669
0.47110307,0.03712584,0.0014072668,0.004490044,0.25655174,0.843202,0.6786707,0.0368,0.73444265,0.5375969
0.46221608,0.025269194,0.0012325366,0.0042908913,0.24523129,0.8092578,0.6419491,0.0538,0.76674724,0.58745366
0.47658572,0.045530852,0.0014386838,0.0045216396,0.25834697,0.74847436,0.5536056,0.0462,0.832779,0.6631637
0.50091136,0.03586651,0.0018680684,0.0049315635,0.28161874,0.82916397,0.64042586,0.0464,0.76802,0.5590055
0.5097537,0.12104635,0.0015377902,0.004623047,0.2641074,0.70420164,0.49376756,0.0433,0.8695939,0.71000004
0.55776525,0.12719452,0.0017204625,0.004809594,0.27469832,0.58083624,0.7804123,0.0316,0.6252652,0.81402045
0.63830733,0.13478069,9.7102235E-4,0.0040143225,0.2294971,0.5969321,0.7641196,0.0167,0.64507455,0.80229175
0.5106272,0.12373928,0.0013146753,0.004396415,0.25123057,0.6268067,0.8012276,0.0263,0.59835964,0.7791748
0.51362836,0.14868633,0.0038463299,0.0063002585,0.3590215,0.6200283,0.85717386,0.0273,0.51502717,0.78457946
1.1241188,0.26782075,0.0024435858,0.005525413,0.31526244,0.61108047,0.8271446,0.0104,0.5619891,0.7915685
0.4588782,0.042763446,4.942458E-4,0.0031629757,0.18097727,0.79830045,0.6766791,0.0528,0.7362781,0.6022594
0.46215358,0.029551012,6.773416E-4,0.0035148966,0.20104858,0.79758424,0.6608051,0.0495,0.75055754,0.6032076
0.47097588,0.03449244,7.373449E-4,0.0036159088,0.20680599,0.7702212,0.62256145,0.0442,0.7825709,0.63777685
0.45616794,0.035265315,5.528708E-4,0.0032840976,0.18788746,0.7917849,0.663555,0.0443,0.74812746,0.6108001
0.46242446,0.03576884,4.7639018E-4,0.0031245565,0.17878492,0.77962965,0.65565544,0.0589,0.75506026,0.62624085
0.45621,0.029546626,1.697277E-4,0.0022138662,0.12676017,0.78975344,0.70580703,0.0632,0.7084042,0.6134244
0.45709285,0.0375676,4.024855E-4,0.0029536572,0.16903022,0.81499314,0.70575285,0.0483,0.7084581,0.57947063
0.45363867,0.031349223,6.486497E-4,0.003462047,0.19803564,0.84110296,0.7180236,0.1034,0.69601876,0.540875
0.4557609,0.03172167,7.992235E-4,0.0037125796,0.21231432,0.8021472,0.6580057,0.0673,0.7530129,0.59712636
0.44431585,0.029896861,5.403717E-4,0.003257618,0.18637696,0.800003,0.6747696,0.0759,0.73802847,0.599996
0.45804846,0.026007375,3.1154772E-4,0.0027115978,0.1552069,0.7980547,0.69519913,0.077,0.7188172,0.602585
0.46951652,0.028074767,7.441304E-4,0.0036256409,0.2073606,0.8091555,0.67057204,0.0567,0.7418444,0.58759457
0.45567748,0.033158638,8.5460534E-4,0.0037959337,0.21706258,0.82016504,0.67738974,0.0769,0.7356243,0.57212704
0.46041587,0.028964803,0.001383519,0.004458886,0.25478116,0.83994144,0.67554224,0.0624,0.73732126,0.5426771
0.4676277,0.021791978,2.649755E-4,0.002568799,0.14704853,0.7637634,0.66084355,0.0885,0.7505237,0.64549625
0.5334806,0.08987156,0.0017819861,0.0048844777,0.27894756,0.68624216,0.8604591,0.0198,0.5095195,0.7273732
0.4775381,0.024617407,8.141634E-4,0.0037354263,0.21361591,0.78703594,0.6380517,0.0768,0.76999354,0.6169071
0.46761003,0.026365675,7.0938695E-4,0.0035674558,0.20404452,0.79486036,0.6551471,0.0948,0.7555014,0.6067924
0.47895122,0.022920594,0.0010323771,0.0040443516,0.23120616,0.81747,0.6633453,0.0548,0.7483135,0.5759712
0.47670335,0.03378378,9.6548826E-4,0.0039560846,0.22618203,0.82026017,0.6707346,0.0569,0.7416975,0.57199067
0.47294298,0.032226436,8.9051423E-4,0.003849367,0.22010572,0.82708323,0.68408316,0.0538,0.729404,0.5620794
0.47168687,0.029649971,5.7091884E-4,0.0033201515,0.18994397,0.81815946,0.69467795,0.076,0.7193209,0.57499135
0.4744507,0.023668794,0.0015576351,0.004639439,0.26503834,0.8527398,0.68557125,0.0558,0.7280055,0.5223359
0.4604052,0.018936018,9.926066E-4,0.003991963,0.2282244,0.8441454,0.70060605,0.0559,0.7135483,0.53611434
0.46618795,0.027060328,7.6466316E-4,0.0036581953,0.20921569,0.8479753,0.71913344,0.0771,0.69487196,0.53003573
0.4430314,0.027772889,9.7396865E-4,0.0039668623,0.22679557,0.8575764,0.71961975,0.0505,0.6943683,0.5143566
0.43517852,0.020332841,2.4146388E-5,0.0011581709,0.066346124,0.7843696,0.7415118,0.0442,0.6709398,0.6202938
0.46264336,0.032261945,0.002454485,0.0054027634,0.30832106,0.8378309,0.63169855,0.0527,0.77521414,0.5459298
0.42730042,0.033747453,0.0019503065,0.005020058,0.28663766,0.6526728,0.8407869,0.0274,0.5413663,0.7576399
0.4489064,0.040484484,0.0014648276,0.00455326,0.26014337,0.776706,0.5879616,0.0505,0.80888885,0.6298633
0.46951407,0.029104574,5.733198E-4,0.0033396105,0.19105381,0.7852073,0.6531108,0.0168,0.75726235,0.619233
0.45734924,0.042266212,7.564508E-4,0.0036902141,0.21104008,0.79978436,0.65599656,0.0137,0.75476384,0.6002874
1.2145404,0.26754358,9.0171216E-4,0.0039954125,0.22842073,0.7236726,0.861405,0.0105,0.5079187,0.6901434
0.81235695,0.2600331,0.0014293793,0.004805859,0.27448636,0.7151213,0.87823224,0.0073,0.47823438,0.69900036
0.45441732,0.038168434,3.049869E-6,5.520254E-4,0.03162741,0.6473736,0.67115235,0.0694,0.7413194,0.7621728
0.4449566,0.024758913,7.09845E-6,2.7160693E-4,0.015561773,0.6556437,0.6673142,0.0663,0.7447763,0.75507045
0.4734433,0.053875793,8.608296E-4,0.0038082434,0.21776369,0.8084641,0.6618931,0.0422,0.7495982,0.5885455
0.4674638,0.047954764,0.0024957412,0.0054426296,0.31057772,0.83743274,0.6293598,0.0306,0.77711403,0.54654044
0.46588022,0.030800698,5.9063424E-4,0.0033576642,0.19208346,0.80272526,0.6738973,0.058,0.738825,0.596349
0.45626584,0.023207564,3.428981E-4,0.0028002232,0.16026895,0.7854762,0.67651814,0.0654,0.73642594,0.61889184
0.44428763,0.018437183,3.163596E-4,0.0027261116,0.15603596,0.77872574,0.6716528,0.0557,0.74086607,0.62736446
0.46945602,0.06424317,7.496324E-4,0.0036355273,0.207924,0.8012842,0.66023993,0.0399,0.7510547,0.59828395
0.4661033,0.048500217,5.3848024E-4,0.0032558057,0.18627357,0.7933469,0.66667837,0.0432,0.74534553,0.60876983
0.47545707,0.06934464,0.0011957848,0.004253087,0.24308147,0.8401164,0.68442434,0.0305,0.7290839,0.54240614
0.49009314,0.049797434,0.0014549401,0.0045376937,0.25925905,0.8634372,0.70473766,0.0357,0.70946795,0.5044564
0.47153318,0.06587147,0.0017403654,0.0048144804,0.27497566,0.85635924,0.68334025,0.0664,0.73010004,0.51638055
0.4605376,0.034983788,0.0014951811,0.0045791557,0.2616144,0.85304767,0.6885094,0.04,0.72522736,0.521833
0.48268953,0.031542875,9.4008003E-4,0.00392132,0.22420284,0.82374305,0.676726,0.0664,0.736235,0.5669633
0.4828475,0.026020559,4.9972686E-4,0.00317588,0.1817136,0.804753,0.68404573,0.0686,0.72943914,0.59360987
0.48812154,0.044584688,0.0017278256,0.004802241,0.27428102,0.84968215,0.67446077,0.0706,0.7383107,0.5272952
0.4715503,0.041034166,0.0023310427,0.0053113666,0.30314597,0.85540384,0.6608953,0.0401,0.75047815,0.5179617
0.47399113,0.02199824,0.001529907,0.004612307,0.2634974,0.8436363,0.6741066,0.0558,0.7386341,0.53691506
0.45901635,0.031271514,0.0019641435,0.005034957,0.2874825,0.6171819,0.8155262,0.0558,0.5787202,0.7868205
0.4386843,0.0339651,0.0031016816,0.005846252,0.3334018,0.58899105,0.821921,0.0431,0.56960154,0.80813956
0.4590607,0.029492043,7.512114E-4,0.0036424338,0.20831756,0.66845477,0.80804455,0.0549,0.58912134,0.74375284
0.45399052,0.04656621,0.0014668027,0.004550699,0.2599979,0.62146366,0.80242354,0.0473,0.59675497,0.78344303
0.44672793,0.040417727,7.964673E-4,0.0037081956,0.21206458,0.6957821,0.83159435,0.0758,0.5553835,0.7182529
0.43516716,0.022120574,6.945178E-4,0.0035430503,0.20265344,0.6822628,0.81565183,0.0727,0.578543,0.731107
0.44897616,0.0358652,2.5493617E-4,0.0025362228,0.14518704,0.7601908,0.8462578,0.058,0.5327736,0.64969987
0.48084176,0.047935814,0.0015703168,0.004652461,0.26577786,0.7159555,0.8745748,0.0843,0.4848907,0.6981459
0.44413677,0.021394465,3.5578478E-4,0.0028332497,0.16215508,0.67325956,0.7839119,0.1318,0.6208721,0.7394062
0.45627308,0.04843801,0.0017409403,0.004816832,0.2751091,0.6401088,0.82523835,0.059,0.56478465,0.76828426
0.4625971,0.04277471,0.0010142535,0.0040207016,0.22986017,0.640866,0.7992192,0.097,0.60103965,0.7676528
0.44233865,0.06859858,0.0029360938,0.00574809,0.32785487,0.59668756,0.8241548,0.0327,0.5663646,0.80247366
0.542412,0.061423946,0.0015544564,0.004674902,0.26705217,0.7989004,0.6112292,0.0169,0.79145366,0.60146326
0.42963645,0.034268044,0.0012764856,0.004351599,0.24868296,0.8449092,0.6867927,0.0295,0.7268534,0.5349097
0.4554731,0.049003176,0.002640673,0.0055545787,0.3169125,0.65841585,0.8608644,0.0326,0.5088345,0.7526544
0.45985034,0.05334788,0.0021890418,0.005213532,0.29760402,0.62913096,0.8300225,0.04,0.55772984,0.7772993
0.45529038,0.058556635,0.00156076,0.0046475152,0.26549697,0.72343934,0.8796159,0.04,0.4756846,0.69038796
