Test data for UserID: 4ea96c46-2573-44d3-ae69-160f52796f0c
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.45132774,0.10973726,0.0038539935,0.0063310796,0.36075863,0.853676,0.6133216,0.0296,0.78983325,0.5208044
0.44097996,0.037053823,4.796895E-4,0.003211629,0.18375328,0.6856917,0.8073023,0.1503,0.59013814,0.72789204
0.45399803,0.046778865,0.0014884005,0.0045732087,0.26127663,0.79167396,0.6063946,0.0424,0.79516387,0.6109438
0.4714085,0.052986708,7.37428E-4,0.003624251,0.20728141,0.7668391,0.6180403,0.0285,0.7861464,0.6418394
0.43304142,0.037513226,3.0092662E-4,0.0026829126,0.15356827,0.74559325,0.63476557,0.0339,0.7727048,0.66640127
0.43655908,0.051744085,5.7714013E-4,0.0033414278,0.19115746,0.7694249,0.6338266,0.0317,0.77347517,0.6387373
0.43499103,0.03749475,2.6168456E-4,0.0025613524,0.14662302,0.76587826,0.6636229,0.0295,0.74806726,0.6429856
0.43533474,0.053214774,7.408907E-4,0.0036324267,0.2077473,0.8099172,0.6712458,0.02,0.74123484,0.5865442
0.46739644,0.074455746,0.0014652574,0.0045511373,0.2600228,0.86192566,0.70206594,0.0326,0.71211195,0.5070346
0.51530194,0.11052306,0.0013903169,0.0044936244,0.25675517,0.8172781,0.64361006,0.0191,0.76535356,0.57624346
0.61635274,0.10770011,0.0012873199,0.004397567,0.25129607,0.8240675,0.65681875,0.0148,0.7540485,0.56649166
0.81205034,0.23543198,0.0023341272,0.0054141986,0.3089684,0.8507319,0.64968157,0.0115,0.76020646,0.5255999
0.4257414,0.14532067,9.4101264E-4,0.0040101944,0.22926211,0.6323304,0.79215074,0.0125,0.6103255,0.77469885
0.9232143,0.13259676,4.514486E-4,0.003159335,0.18076952,0.6805615,0.801348,0.0095,0.5981985,0.732691
0.5493277,0.679084,0.002878554,0.0057150093,0.325985,0.47112763,0.72979,0.0274,0.6836714,0.88206506
0.5799821,0.26457828,0.016489651,0.010237469,0.5781911,0.937133,0.5873319,0.0921,0.80934614,0.3489723
0.539491,0.1406963,0.00903491,0.00836434,0.47466835,0.9090658,0.6145339,0.0445,0.7888904,0.41665256
0.5891537,0.08549457,6.87292E-4,0.0035350842,0.20219935,0.7473351,0.59839535,0.0445,0.801201,0.66444737
0.4703112,0.08683304,0.0010594057,0.0040817545,0.2333347,0.7807089,0.6146421,0.0422,0.78880614,0.6248949
0.58446926,0.13791285,0.0010738868,0.0041043134,0.23461835,0.7689474,0.5988251,0.0444,0.80087984,0.639312
0.48573035,0.04200417,0.0014606662,0.0045394013,0.25935608,0.77667177,0.5885598,0.1079,0.8084537,0.6299055
0.46187928,0.04007071,4.6136492E-4,0.003093728,0.1770256,0.73903096,0.60866207,0.0508,0.7934296,0.6736715
0.46328154,0.03585172,1.859541E-4,0.0022832728,0.13072863,0.73939407,0.6452481,0.0445,0.76397306,0.6732729
0.46164063,0.085848816,0.0020818335,0.005126309,0.29266125,0.81323916,0.60993695,0.0476,0.79244995,0.5819296
0.4977117,0.05131717,9.5389626E-4,0.0039430703,0.22544111,0.76608324,0.6026388,0.0477,0.7980141,0.6427414
0.47800756,0.037677124,9.989608E-4,0.0039994083,0.2286482,0.7836122,0.62201214,0.1153,0.7830076,0.62125033
0.4922007,0.038265236,5.5862626E-4,0.003296263,0.1885814,0.75484455,0.61828214,0.0572,0.78595626,0.65590376
0.49625498,0.07559282,4.8615626E-4,0.0031319004,0.17920402,0.8570882,0.7513768,0.1651,0.6598734,0.5151697
0.5202971,0.06957866,5.7543005E-4,0.0033342782,0.19074969,0.8174439,0.6931998,0.0285,0.72074544,0.57600826
0.48395985,0.05945912,7.2156003E-4,0.003594392,0.20557973,0.8125017,0.67612267,0.0349,0.7367891,0.58295876
0.51229954,0.051613536,4.5459298E-4,0.0030785745,0.17616074,0.7902335,0.6704392,0.0423,0.74196446,0.6128059
0.48144743,0.060597282,6.042376E-4,0.0033876079,0.1937911,0.77144307,0.6342285,0.0338,0.7731456,0.63629836
0.4949739,0.044030026,0.0019111381,0.0049668327,0.28361925,0.8251078,0.6333035,0.1366,0.77390355,0.5649753
0.45719075,0.03620867,4.7916395E-4,0.0031333477,0.1792866,0.7886806,0.6662229,0.0328,0.7457527,0.61480314
0.46176788,0.032031476,0.0010448631,0.004069719,0.23264982,0.80397487,0.6448078,0.0317,0.7643447,0.59466326
0.47824734,0.043959115,6.5102405E-4,0.0034694716,0.19845894,0.763867,0.62137616,0.0422,0.7835124,0.64537364
0.4697696,0.038335647,7.526563E-4,0.0036409541,0.20823324,0.77409613,0.62620395,0.0402,0.7796593,0.633068
0.46784642,0.030966813,5.422899E-4,0.0032618686,0.18661943,0.76624256,0.63351023,0.0561,0.7737343,0.6425514
0.47463343,0.025070854,0.013024465,0.009447621,0.5347241,0.9262915,0.5997111,0.3761,0.8002166,0.37680766
0.4205356,0.068529285,0.0011539875,0.0042229863,0.24136949,0.8486419,0.6971777,0.021,0.7168983,0.52896786
0.48973098,0.04743296,2.576624E-4,0.0026251362,0.15026748,0.582981,0.69814414,0.144,0.7159572,0.8124858
0.49078742,0.08709049,0.0046495027,0.0067058564,0.38185832,0.51531124,0.7989746,0.0412,0.60136485,0.8570031
0.4632835,0.046640746,0.0050187185,0.0068610134,0.3905808,0.8738166,0.6208995,0.2318,0.7838902,0.48625568
0.436132,0.080105565,3.3488148E-4,0.0027833919,0.15930766,0.7813737,0.6723563,0.0285,0.7402277,0.62406343
0.45023054,0.049766853,1.944853E-4,0.00231821,0.13272604,0.7791505,0.6892735,0.0435,0.72450125,0.62683696
0.4500454,0.05174856,8.660375E-4,0.003818627,0.21835507,0.82170296,0.6784138,0.0318,0.73468,0.569916
0.43317243,0.052939717,6.401107E-4,0.003458861,0.197854,0.80734855,0.6753702,0.0306,0.73747885,0.59007484
0.43135032,0.07978556,3.8295425E-4,0.0029090086,0.16648106,0.7928513,0.6807601,0.0275,0.73250645,0.6094151
0.46889848,0.06334546,4.5687883E-4,0.0030912848,0.17688616,0.7913899,0.6713003,0.0285,0.7411855,0.61131173
0.44332772,0.033969,2.2348117E-4,0.0024283433,0.13902162,0.762472,0.6653714,0.0423,0.7465125,0.64702123
0.46205765,0.03226317,6.796797E-4,0.0035165972,0.20114553,0.788569,0.6495499,0.1037,0.760319,0.6149463
0.4801924,0.042555474,7.3667173E-4,0.0036156245,0.20678979,0.7962397,0.6547818,0.0391,0.75581795,0.6049813
0.49059853,0.046085972,6.5841427E-4,0.0034876894,0.19949757,0.799585,0.6644622,0.0307,0.74732184,0.6005529
0.4661968,0.042479403,0.0010645881,0.0040874616,0.23365946,0.8452986,0.69823533,0.0878,0.71586835,0.53429425
0.4968785,0.06010006,0.00334031,0.0059868116,0.34133983,0.5653327,0.8098261,0.1207,0.58667004,0.82486296
0.4778312,0.037239514,0.001016543,0.004021098,0.22988272,0.78589135,0.6239165,0.2118,0.781491,0.61836463
0.4549435,0.055088244,9.3977625E-4,0.00392153,0.22421478,0.79854965,0.6443666,0.037,0.76471674,0.60192895
0.44892803,0.03226663,5.56757E-4,0.0032936442,0.18843202,0.7808322,0.6497723,0.036,0.7601289,0.62474084
0.45445943,0.061959725,4.4796988E-4,0.0030639751,0.1753275,0.7643875,0.6400305,0.0369,0.7683495,0.64475715
0.4788171,0.04880751,4.5034828E-4,0.0030689193,0.17560968,0.7684351,0.6446429,0.0349,0.76448387,0.6399277
0.45422333,0.04608952,5.772164E-4,0.0033340189,0.19073491,0.7823751,0.64989406,0.0328,0.7600248,0.6228075
0.45467725,0.041425213,5.162657E-4,0.0032099534,0.18365768,0.765569,0.63499993,0.0403,0.7725122,0.6433538
0.4908444,0.041114204,4.427586E-4,0.0030501606,0.17453901,0.76054007,0.6360614,0.0403,0.77163845,0.649291
0.44359398,0.04251241,4.8530792E-4,0.0031451718,0.17996132,0.78199947,0.6576254,0.0359,0.75334513,0.6232791
0.44477618,0.04027019,5.9192267E-4,0.0033620505,0.19233361,0.77876085,0.6442611,0.0359,0.7648056,0.62732095
0.43409076,0.049957365,8.1753737E-4,0.003747191,0.21428612,0.8064878,0.66200393,0.0318,0.7495004,0.5912508
0.46131814,0.04447278,7.8995264E-4,0.0036989579,0.21153826,0.80525017,0.6625084,0.0454,0.7490545,0.5929352
0.48010492,0.04257851,4.876813E-4,0.0031510633,0.18029752,0.79190487,0.6693841,0.0412,0.74291646,0.6106445
0.4487761,0.029901024,7.2788366E-4,0.0036014214,0.20598036,0.8073134,0.66927975,0.0359,0.7430105,0.59012294
0.44492948,0.035494216,9.6591905E-4,0.0039569945,0.22623383,0.8132959,0.66169363,0.0402,0.74977434,0.5818503
0.54193944,0.056121405,4.158837E-4,0.002986388,0.17089877,0.77180314,0.65226185,0.0466,0.7579937,0.6358615
0.65567607,0.3631584,0.0055615627,0.007302766,0.4153721,0.62697923,0.88942575,0.0105,0.45707974,0.779036
0.8637955,0.30838305,0.008675442,0.008398427,0.47656533,0.60736144,0.90608174,0.0116,0.42310274,0.79442567
0.50161105,0.08993389,4.3453113E-4,0.0030342191,0.1736291,0.8236269,0.71311307,0.0411,0.70104903,0.56713206
0.45987758,0.099980906,8.3826657E-4,0.0037756886,0.21590942,0.87146175,0.7458725,0.0413,0.66608876,0.49046353
0.44120198,0.042099062,6.955893E-4,0.003548131,0.20294304,0.8671176,0.74869615,0.0433,0.6629133,0.49810353
0.4387652,0.041887887,5.8152905E-4,0.0033413165,0.19115111,0.8727853,0.7639655,0.0477,0.6452571,0.48810434
0.4619528,0.032673307,4.5522486E-4,0.0030788525,0.17617661,0.86447287,0.7628409,0.0402,0.64658624,0.5026795
0.48157084,0.031692874,6.178061E-4,0.0034311034,0.19627133,0.8947447,0.79028344,0.037,0.6127415,0.44657803
0.45693177,0.05524518,0.0010621592,0.004099471,0.23434283,0.9258816,0.81253046,0.0349,0.58291876,0.37781373
0.47917217,0.043410983,0.0016479021,0.0047711185,0.27251458,0.9487831,0.8282608,0.0265,0.56034285,0.31592813
0.47748268,0.060051102,0.0022053418,0.0052476646,0.29953778,0.9517532,0.8181754,0.0253,0.57496876,0.30686456
0.4788574,0.03150659,0.0015290398,0.004642517,0.26521313,0.9348511,0.80864364,0.0338,0.5882988,0.35503998
0.48523578,0.026286576,5.042924E-4,0.0031974812,0.18294609,0.9039887,0.810969,0.0286,0.58508915,0.4275563
0.43270823,0.073753454,0.0015338317,0.0046433164,0.26525852,0.9364202,0.81122416,0.0221,0.58473533,0.3508806
0.49228692,0.04844613,0.0019315527,0.005021709,0.2867313,0.93080217,0.78881496,0.02,0.6146307,0.36552337
0.4823968,0.044952687,0.002644549,0.005570443,0.31780994,0.9488422,0.80185056,0.0221,0.59752464,0.3157506
0.4709587,0.051976904,0.0019132697,0.0050125048,0.28620937,0.9381462,0.8016447,0.02,0.5978008,0.34623942
0.44942096,0.05602518,0.0028028088,0.0056798663,0.3239982,0.9466475,0.7939245,0.0233,0.6080164,0.3222708
0.60886,0.06624121,0.0034369754,0.0060681403,0.3459303,0.95714986,0.80121076,0.0316,0.59838223,0.289593
0.46605375,0.042838827,0.001740536,0.004840056,0.27642703,0.94295716,0.8157874,0.0402,0.5783519,0.33291408
0.43495902,0.037864767,0.004384166,0.0065780343,0.37466684,0.96497947,0.80070525,0.0414,0.5990585,0.2623254
0.43861365,0.04191528,0.0018598207,0.004944449,0.28234965,0.94487065,0.81567985,0.0433,0.5785036,0.32744375
0.5288612,0.06840687,0.004788053,0.0067810393,0.38608584,0.97354835,0.8144347,0.0243,0.58025527,0.22848101
0.48480928,0.041590724,0.0018787582,0.0049496223,0.2826431,0.9483639,0.82173264,0.0392,0.5698733,0.31718442
0.8272244,0.17176318,0.0042440663,0.006601377,0.37598053,0.78673494,0.9590794,0.0115,0.28313723,0.617291
0.6115958,0.19551511,0.0026497126,0.0058263256,0.332276,0.8099629,0.95741534,0.0115,0.28871414,0.58648103
0.4730397,0.25758117,0.0048803696,0.006919499,0.39386672,0.7357912,0.94022566,0.0137,0.340552,0.6772084
0.4791673,0.054360274,0.0012207287,0.0042803544,0.2446321,0.956284,0.85666674,0.0486,0.5158702,0.29243955
0.46917215,0.044017043,0.0018370248,0.004923303,0.28115016,0.969345,0.8626402,0.0359,0.50581807,0.24570367
0.45393017,0.04159414,0.0028223817,0.0056814156,0.3240858,0.97149575,0.8446654,0.0275,0.53529465,0.23705706
0.48759395,0.049576327,0.0010876416,0.004133602,0.2362848,0.9323167,0.82143855,0.037,0.570297,0.3616429
0.59638983,0.25267398,9.387497E-4,0.003924619,0.22439064,0.9307003,0.8257094,0.0454,0.5640957,0.36578262
0.46141917,0.07216572,4.1973675E-4,0.0029973288,0.17152333,0.8997963,0.8119985,0.0498,0.5836595,0.43631026
0.5033282,0.084618315,4.154283E-4,0.00298775,0.17097652,0.92246795,0.84321684,0.0497,0.5375736,0.38607365
0.87666637,0.15363102,0.0012176527,0.004441214,0.25377685,0.9651854,0.86826205,0.0169,0.49610582,0.2615668
0.5539051,0.087261096,7.305258E-4,0.003672639,0.21003869,0.71432287,0.84474194,0.0349,0.5351739,0.6998163
0.47331977,0.039785642,6.4658787E-4,0.0035017962,0.20030178,0.91893774,0.8219011,0.0975,0.5696302,0.39440268
0.48845395,0.035128184,0.0034979607,0.006093132,0.34734058,0.9520257,0.7899197,0.0286,0.6132104,0.30601808
0.5003915,0.051069874,0.0031771406,0.005923658,0.33777395,0.95946157,0.81089795,0.0211,0.58518755,0.28183943
0.4860969,0.03303905,0.0037834174,0.0062735677,0.35751697,0.9627793,0.8061724,0.0212,0.5916807,0.2702889
0.4638169,0.040524103,0.002261542,0.0053011216,0.30256575,0.9463963,0.80647063,0.0202,0.59127414,0.32300782
0.46217036,0.025512608,0.0026474874,0.005584189,0.3185875,0.9470139,0.7979326,0.0189,0.60274667,0.3211925
0.48611438,0.02908433,0.0040310775,0.006412181,0.36532816,0.96675503,0.8103969,0.0222,0.5858813,0.25570434
0.53733385,0.10513497,0.0060868403,0.0074430523,0.42323127,0.7640773,0.9624982,0.0149,0.27128807,0.64512473
0.45805624,0.09341883,0.0022620738,0.0054103867,0.3087526,0.7671141,0.92624396,0.0117,0.3769245,0.64151067
0.4540772,0.047012463,2.2663708E-6,0.0017119903,0.0980505,0.8542029,0.9010159,0.0762,0.43378612,0.5199398
0.47546148,0.04659464,2.1168518E-5,0.0010511696,0.060218476,0.8656028,0.8338938,0.0687,0.551925,0.5007312
0.46258593,0.029417152,3.4898362E-4,0.0028174634,0.16125354,0.87926054,0.79126734,0.037,0.6114704,0.4763412
0.6600247,0.13803004,0.0011017588,0.0042643254,0.24372058,0.76663804,0.8991907,0.0137,0.4375569,0.64207953
0.58362645,0.13932855,0.007566445,0.007904474,0.4490323,0.97428876,0.7774803,0.0751,0.6289073,0.22530301
0.5596289,0.07558941,0.0040424,0.0064015253,0.3647279,0.9581414,0.79174334,0.0296,0.6108539,0.28629553
0.4150572,0.08896764,0.005202954,0.0069849216,0.39754108,0.96463567,0.78571504,0.0191,0.6185886,0.26358682
0.5188261,0.081496,0.0044677653,0.006627799,0.3774673,0.9653046,0.7997403,0.0243,0.600346,0.2611263
0.54344684,0.093372345,0.007102085,0.007744062,0.44007134,0.9768736,0.79049253,0.0539,0.6124717,0.21381782
0.47799987,0.041556448,6.9003736E-6,0.0012027915,0.06890123,0.7638223,0.8064535,0.0561,0.5912975,0.6454266
0.5186336,0.03941487,2.1708847E-4,0.002408852,0.13790753,0.8546741,0.7751205,0.0434,0.63181347,0.51916486
0.4726325,0.040959798,0.0011832018,0.0042361915,0.24212056,0.9085332,0.78148603,0.0359,0.62392277,0.41781265
0.46921682,0.046287857,0.0022907364,0.0052827266,0.30152386,0.9252931,0.7701841,0.0381,0.6378217,0.37925282
0.49376613,0.039207164,0.0022833,0.0052850707,0.30165663,0.93533456,0.7872838,0.0392,0.61659086,0.35376447
0.47172576,0.045761738,0.0020731138,0.005113482,0.2919342,0.9327092,0.78881145,0.0391,0.6146353,0.36062938
0.54684436,0.059251167,0.0029057006,0.00572723,0.32667583,0.94632447,0.79166037,0.0307,0.6109614,0.32321823
0.7456584,0.35176933,0.0041945027,0.0064769667,0.36897704,0.9381946,0.7488159,0.0392,0.6627781,0.34610826
0.5669191,0.17520264,0.0052837366,0.0070083775,0.3988581,0.964397,0.7843225,0.0221,0.6203533,0.26445875
0.54832536,0.11140922,0.0038412523,0.006298159,0.35890317,0.964626,0.8094197,0.0232,0.5872306,0.2636221
0.5044745,0.11617018,0.0023784477,0.0053624525,0.30603883,0.90462214,0.7333568,0.0296,0.67984396,0.42621443
0.49278143,0.0747906,0.0031084341,0.005856876,0.33400193,0.936439,0.7686732,0.0338,0.6396417,0.35083047
0.44853044,0.07239369,0.004516603,0.006645461,0.378461,0.9626909,0.7931839,0.0286,0.60898215,0.27060345
0.46721542,0.040648054,0.0023211434,0.005322091,0.3037533,0.9457413,0.8045606,0.0349,0.5938706,0.32492062
0.56599504,0.075261034,0.0014166674,0.004497723,0.25698808,0.9207508,0.7909133,0.0497,0.6119283,0.39015117
0.44550103,0.03900565,0.0029245918,0.0057326667,0.32698312,0.9457188,0.79032654,0.0359,0.61268586,0.324986
0.44636998,0.036517043,0.0035304588,0.006115474,0.34860116,0.9608354,0.8073283,0.0337,0.59010255,0.27711964
0.46006322,0.034753367,8.106615E-4,0.0037348242,0.2135816,0.9167024,0.8109408,0.0455,0.58512825,0.39957073
0.4821297,0.0475019,0.0024996072,0.0054418417,0.31053314,0.9425906,0.7946982,0.0476,0.60700476,0.3339505
0.7801309,0.23805618,0.008928143,0.008502283,0.48234233,0.7513352,0.9728467,0.0148,0.2314505,0.6599208
1.0189269,0.33350122,0.003005811,0.005950962,0.33931577,0.7397646,0.9221822,0.0095,0.38675568,0.6728658
0.49752274,0.035895113,1.07552325E-4,0.0020515323,0.117476486,0.91358256,0.9549683,0.0869,0.29670802,0.40665326
0.45872128,0.01952632,3.1419515E-4,0.0027193513,0.15564981,0.8776584,0.79265237,0.1123,0.60967386,0.4792866
