Test data for UserID: bdc77beb-2048-4799-8c05-ff405c497b84
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.4306585,0.05115776,2.0754995E-4,0.0024330793,0.13929231,0.7721003,0.85291547,0.1574,0.52204907,0.63550067
0.4364898,0.026235914,0.0012365021,0.0042946357,0.2454442,0.722695,0.5325658,0.0603,0.8463886,0.69116706
0.42467836,0.031012366,1.1272533E-5,2.2008432E-4,0.012609819,0.49258488,0.5035194,0.1025,0.8639839,0.8702644
0.50562185,0.023636835,0.0018516768,0.0049262117,0.28131515,0.46714127,0.6949181,0.0548,0.7190889,0.8841827
0.5406623,0.03308786,4.6525747E-6,8.3850947E-4,0.04803843,0.47331086,0.51506937,0.2084,0.8571485,0.8808955
0.52663046,0.030889766,0.0016257357,0.0047065644,0.26884994,0.75154525,0.5486387,0.0824,0.8360596,0.6596815
0.52574664,0.025239736,6.91011E-4,0.0035362085,0.20226344,0.70213753,0.5444936,0.0781,0.838765,0.7120413
0.5208906,0.028054515,4.3156603E-4,0.0030232677,0.173004,0.6822692,0.54604965,0.0475,0.8377528,0.73110104
0.5550273,0.086913474,2.3796414E-4,0.0024796668,0.14195499,0.62001276,0.50266993,0.0357,0.8644784,0.78459173
0.557549,0.1482892,1.7163692E-4,0.0022252942,0.12741363,0.597411,0.4905918,0.0305,0.8713895,0.80193526
0.51875097,0.037034526,2.6964018E-4,0.0025859727,0.14802983,0.60686576,0.48288468,0.0328,0.87568396,0.79480433
0.50739366,0.028693983,1.8184609E-4,0.002266915,0.12979339,0.5862206,0.47635219,0.0412,0.8792546,0.81015146
0.53181624,0.022946978,1.3971774E-4,0.0020757616,0.11886229,0.5624518,0.46037334,0.0411,0.8877254,0.8268301
0.52781963,0.02238864,2.703346E-4,0.0025859638,0.14802931,0.58281034,0.45646498,0.0539,0.88974136,0.8126082
0.49888802,0.02336536,2.3537397E-4,0.0024708244,0.14144962,0.5769733,0.45595977,0.0381,0.8900004,0.816763
0.47367454,0.01756519,5.466331E-4,0.0032721355,0.1872051,0.61534786,0.4576476,0.039,0.8891337,0.78825563
0.49912134,0.016175298,7.239305E-4,0.0035922732,0.20545898,0.6296737,0.45761508,0.0856,0.88915044,0.7768597
0.5219622,0.016123785,5.757544E-4,0.0033279734,0.1903901,0.61561614,0.45510375,0.0846,0.89043844,0.7880462
0.50930196,0.017847719,5.236291E-4,0.0032246704,0.18449733,0.62147444,0.46697193,0.0476,0.88427216,0.78343445
0.52500796,0.062318396,0.0037150318,0.00621379,0.3541466,0.45116094,0.7339298,0.0485,0.6792253,0.8924426
0.63256973,0.19655943,0.0021278101,0.0051567825,0.29438835,0.53124636,0.7549205,0.0337,0.6558163,0.8472174
0.5379857,0.07684402,0.0019063546,0.004976915,0.28419107,0.5828207,0.78787565,0.0433,0.61583436,0.8126008
0.4677217,0.065833114,0.0025141572,0.0054558306,0.31132486,0.5321318,0.7667176,0.0317,0.6419845,0.84666157
0.49752998,0.0443517,0.035265632,0.013332028,0.7454325,0.13915248,0.7854819,0.1883,0.61888456,0.990271
0.4916886,0.04129752,0.0023770165,0.005350563,0.30536562,0.51315343,0.7482495,0.0486,0.66341746,0.8582969
0.439482,0.010809498,0.0029313595,0.0057310583,0.32689223,0.5576501,0.7955517,0.3226,0.6058857,0.8300761
0.42743897,0.0110457,0.0033817166,0.0060205963,0.34324697,0.53742635,0.79093593,0.0677,0.61189896,0.8433107
0.42027283,0.0114927795,6.804343E-4,0.003533445,0.20210592,0.5914967,0.7415417,0.0518,0.67090684,0.8063074
0.42376032,0.018835146,3.3642445E-4,0.0027853874,0.15942164,0.65962636,0.53180504,0.0421,0.8468668,0.75159365
0.4234701,0.021646183,1.5062059E-4,0.0021324866,0.12210649,0.6439912,0.54594904,0.0284,0.8378184,0.7650329
0.47357455,0.023442674,2.2871091E-4,0.0024484077,0.14016843,0.6461816,0.53312254,0.0305,0.84603804,0.7631837
0.52420753,0.053756896,1.372961E-4,0.0020662893,0.11832053,0.6528807,0.5588445,0.0306,0.8292725,0.7574607
0.5401201,0.028452815,9.1239854E-5,0.0018038785,0.103308626,0.6205084,0.53629065,0.0328,0.84403336,0.78419983
0.5265868,0.03034774,8.291108E-5,0.001747002,0.100054055,0.61954516,0.5380039,0.0305,0.84294236,0.784961
0.560339,0.042776912,1.6819627E-4,0.0022109093,0.12659109,0.6420186,0.54001296,0.0275,0.8416567,0.76668906
0.5381811,0.0396841,0.002526735,0.0054544783,0.31124836,0.7668649,0.53239167,0.074,0.84649813,0.64180857
0.5314379,0.024028163,0.0034284843,0.0060386043,0.3442634,0.7833462,0.5261309,0.1366,0.8504036,0.6215857
0.56400156,0.034279384,9.4454555E-4,0.003932899,0.22486204,0.7114716,0.53647256,0.0274,0.8439177,0.7027148
0.53382343,0.053865205,3.41063E-4,0.002797547,0.1601161,0.66234463,0.5342805,0.0326,0.84530723,0.7491993
0.53559,0.02691858,2.9781496E-4,0.0026743512,0.15307918,0.65430474,0.5312149,0.0285,0.8472371,0.75623095
0.5275144,0.02538764,0.0016687425,0.0047707935,0.2724961,0.55416214,0.75830066,0.0368,0.651905,0.8324087
0.4560892,0.027134305,0.001806611,0.0049157296,0.28072056,0.5089742,0.7281666,0.0529,0.6854002,0.8607818
0.39260346,0.032279197,1.3458465E-4,0.0021210606,0.121453054,0.6559018,0.74257344,0.0984,0.66976464,0.7548462
0.38584742,0.020137344,2.6905708E-4,0.0025866346,0.14806765,0.5400346,0.6583928,0.0327,0.7526745,0.84164286
0.39253825,0.019581124,3.8110165E-4,0.0029024135,0.16610448,0.67652434,0.5452913,0.0528,0.8382466,0.7364203
0.40015763,0.013485379,0.0013113464,0.0043737628,0.24994293,0.7308473,0.5387599,0.3079,0.8424594,0.682541
0.44340593,0.014711485,0.0012200851,0.0042756386,0.24436393,0.72340274,0.53435296,0.0805,0.84526145,0.69042635
0.48284352,0.014048778,5.81757E-4,0.0033388406,0.1910099,0.6832488,0.5319496,0.0805,0.846776,0.7301856
0.4666452,0.014202087,2.8921466E-4,0.0026442558,0.15135983,0.6565898,0.5352332,0.0772,0.84470433,0.75424784
0.43431926,0.0152797885,9.862687E-4,0.0039825398,0.227688,0.71679115,0.5404793,0.1905,0.8413573,0.6972879
0.45075873,0.025123756,0.0011907574,0.004243276,0.24252349,0.7462525,0.5640585,0.0423,0.82573485,0.665663
0.47765023,0.02404912,4.5735875E-4,0.0030844442,0.17649575,0.6614752,0.5193229,0.0349,0.85457814,0.74996704
0.47478938,0.017028548,2.9186538E-4,0.002656744,0.1520733,0.6511844,0.5285773,0.0305,0.8488852,0.7589196
0.46457735,0.022616869,8.198162E-4,0.0037477708,0.21431912,0.69544,0.5263487,0.0307,0.8502688,0.7185842
0.4805683,0.017756065,0.0026187622,0.00551989,0.31494996,0.7588888,0.51870763,0.0507,0.8549517,0.65122026
0.48268494,0.01735272,0.0020344155,0.0050713094,0.28954354,0.7434421,0.52067196,0.0804,0.85375684,0.6688003
0.46469814,0.023956133,0.0013230395,0.004393016,0.25103736,0.70627856,0.5077114,0.0623,0.8615272,0.707934
0.4714871,0.021673257,9.3009416E-4,0.0039058365,0.22332126,0.6904211,0.51266265,0.055,0.8585901,0.7234077
0.4609592,0.013422219,0.00686335,0.007617971,0.43302107,0.82458156,0.50810623,0.2998,0.8612944,0.5657431
0.46779934,0.019399606,0.0037083088,0.0061987923,0.35330087,0.7822221,0.5167582,0.1123,0.8561314,0.62299967
0.42000073,0.020910883,0.0022927425,0.0052779927,0.30125573,0.7516174,0.52106994,0.0815,0.853514,0.65959936
0.5211757,0.039270204,0.002210329,0.005222473,0.29811057,0.53561026,0.7607422,0.0761,0.64905417,0.8444653
0.5456407,0.026948929,0.00215478,0.0051872293,0.29611367,0.50188607,0.73317856,0.0433,0.6800362,0.8649337
0.5686212,0.064036995,7.604008E-7,2.4431478E-4,0.013998092,0.5214963,0.5333888,0.0857,0.8458702,0.85325354
0.984564,0.32851484,7.696603E-4,0.003674362,0.21013688,0.70407164,0.5401283,0.0242,0.8415827,0.71012896
0.5938854,0.11927531,0.0022337057,0.0052392213,0.29905945,0.7626147,0.53723925,0.0317,0.84342986,0.646853
0.5765142,0.10418655,0.019238265,0.010777058,0.60771686,0.9245813,0.5332647,0.1524,0.84594846,0.38098487
