Test data for UserID: 03dd7d79-93bf-4cd8-b7bf-5b3d6018fbb8
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.43549454,0.07629762,0.0018611917,0.0049237222,0.28117394,0.6782177,0.44683653,0.0538,0.89461565,0.734861
0.43838975,0.05995914,0.0016054092,0.004687189,0.26774985,0.6573744,0.43386042,0.0466,0.9009801,0.7535641
0.43707648,0.04794481,0.0024056428,0.005365179,0.3061932,0.665302,0.40821335,0.0497,0.91288656,0.7465744
0.48985925,0.060685772,0.0013796588,0.0044566034,0.25465143,0.6462102,0.43249977,0.0411,0.90163404,0.7631595
0.43785307,0.060425475,0.0017104041,0.0047882753,0.2734884,0.6415954,0.4097942,0.0454,0.912178,0.76704323
0.44627273,0.07971471,9.208428E-4,0.0038935945,0.22262423,0.6192072,0.4301384,0.041,0.90276295,0.78522766
0.44679737,0.055371992,0.0020807448,0.0051097097,0.29172036,0.6595337,0.4145365,0.0792,0.9100327,0.751675
0.457441,0.05438473,7.734079E-4,0.0036728622,0.21005142,0.5958026,0.41489294,0.0443,0.9098702,0.8031309
0.5153591,0.045308713,5.499253E-4,0.003278363,0.18756033,0.6001847,0.44026667,0.0411,0.8978671,0.79986143
0.48060185,0.0480771,7.011896E-4,0.0035546336,0.2033137,0.6326376,0.46292195,0.0453,0.88639903,0.774448
0.4941583,0.051241763,7.509688E-4,0.0036384221,0.20808896,0.6212754,0.44565257,0.037,0.89520603,0.7835923
0.5005781,0.046165857,7.835693E-4,0.0036894989,0.21099932,0.6129673,0.4335405,0.0411,0.9011341,0.79010826
0.59041804,0.08442241,9.994698E-4,0.004009226,0.229207,0.66863775,0.4817613,0.0263,0.8763025,0.7435883
0.5166391,0.10630254,1.2277644E-4,0.0019897951,0.113945134,0.547857,0.44913197,0.038,0.89346546,0.836572
0.6117771,0.094582334,6.3918956E-4,0.0034484162,0.19725847,0.62275785,0.4570564,0.0338,0.88943774,0.7824146
0.6047766,0.06909053,0.0010957925,0.004125604,0.23582976,0.6377903,0.4396835,0.0464,0.89815277,0.77021
0.56553185,0.10266892,0.0010913321,0.004127506,0.23593798,0.61125576,0.40881717,0.0294,0.9126163,0.79143316
0.6092597,0.07057485,0.0010589595,0.004079798,0.23322336,0.6144165,0.41495284,0.0412,0.9098429,0.78898185
0.60015434,0.0639986,8.8341674E-4,0.0038417848,0.21967393,0.6168298,0.43008828,0.0359,0.90278685,0.78709656
0.5989928,0.066782705,0.0012619289,0.004325926,0.24722333,0.6447454,0.43751466,0.0411,0.8992113,0.7643974
0.52981555,0.07084086,6.092047E-4,0.0033947437,0.19419803,0.609035,0.44425178,0.0326,0.895902,0.79314333
0.5588094,0.05750847,6.652974E-4,0.0034950813,0.19991897,0.60722303,0.4370421,0.0316,0.89944106,0.7945314
0.54543144,0.059096534,7.6400454E-4,0.003663987,0.2095457,0.6127701,0.43463248,0.0262,0.9006079,0.7902612
0.57927513,0.059236556,6.9003593E-4,0.0035385164,0.20239499,0.6166655,0.4455225,0.0326,0.89527076,0.7872253
0.57737255,0.056563817,6.946637E-4,0.0035470114,0.20287924,0.598513,0.42450476,0.0347,0.9054257,0.8011131
0.59580165,0.033843275,0.0013418451,0.004415815,0.25233328,0.6353479,0.42181972,0.0495,0.90667975,0.77222604
0.5742929,0.06083518,9.641527E-4,0.003959173,0.22635783,0.6123365,0.41884106,0.0263,0.90805954,0.79059726
0.5608652,0.041651182,0.0013274087,0.0043996265,0.25141314,0.6328932,0.41978127,0.0411,0.9076253,0.7742391
0.5354077,0.0488625,0.0014149849,0.004493606,0.25675413,0.66035926,0.4473789,0.0495,0.8943445,0.7509498
0.47246966,0.025277957,5.178543E-4,0.0032125232,0.18380429,0.47185698,0.62525624,0.1108,0.7804195,0.8816751
0.52242,0.06810767,6.6576165E-4,0.0034960283,0.19997296,0.64309657,0.4778692,0.0347,0.878431,0.7657851
0.4703129,0.047902185,9.163494E-4,0.0038872263,0.22226161,0.63450843,0.44811052,0.0401,0.8939782,0.77291596
0.476921,0.058796458,0.00199073,0.005034789,0.28747296,0.46881723,0.7007323,0.0906,0.7134243,0.8832952
0.49137935,0.056358933,0.0016037436,0.0046842736,0.2675843,0.4684794,0.685986,0.0833,0.72761476,0.8834744
0.46921656,0.053567264,0.0014533112,0.0045319255,0.25893134,0.47936067,0.6886215,0.1003,0.72512096,0.877618
0.46116233,0.031914443,5.41089E-4,0.0032589287,0.18645172,0.5128982,0.6633453,0.0939,0.7483135,0.85844946
0.46352494,0.044971906,0.0012839343,0.0043488555,0.24852696,0.53409,0.72607887,0.096,0.68761146,0.84542763
0.46749395,0.029968003,0.0013169637,0.0043857275,0.25062308,0.5306324,0.7247215,0.1129,0.6890419,0.84760207
0.49494788,0.16500217,0.009237889,0.008417477,0.4776253,0.8234836,0.46641913,0.1213,0.88456386,0.5673401
0.503086,0.10294851,0.001557659,0.004640532,0.26510042,0.66554195,0.4460408,0.0495,0.8950126,0.7463604
0.46019828,0.06037936,0.0014576166,0.004538971,0.2593316,0.66445875,0.44994655,0.0443,0.8930555,0.74732494
0.46506488,0.057149265,0.0022765212,0.0052660094,0.30057696,0.7037566,0.46084872,0.0622,0.8874787,0.71044123
0.4941826,0.07833923,9.350236E-4,0.0039140987,0.22379167,0.6346873,0.44694063,0.0412,0.8945636,0.7727691
0.47722045,0.053289436,0.0018013206,0.004872283,0.27825564,0.6790117,0.45043662,0.0485,0.8928084,0.73412746
0.5412798,0.075933866,0.001553353,0.004639295,0.26503018,0.6560641,0.43476713,0.038,0.9005429,0.7547052
0.48548636,0.05497227,7.678434E-4,0.0036653115,0.20962118,0.61636746,0.4386667,0.0358,0.8986498,0.78745866
0.49974206,0.06615956,5.5356475E-4,0.0032898635,0.18821636,0.610389,0.4511525,0.0294,0.8924469,0.7921018
0.4406652,0.0456625,0.0010605463,0.004079938,0.23323132,0.6745997,0.48525876,0.0717,0.8743706,0.73818374
0.42595023,0.05038165,0.0015100786,0.0045938296,0.26244795,0.6730615,0.45745713,0.0411,0.8892317,0.73958653
0.44569045,0.058991455,0.0010280126,0.004042687,0.23111145,0.64422107,0.45143735,0.0401,0.8923028,0.76483935
0.42982584,0.063474596,8.3499553E-4,0.003773166,0.21576574,0.6240936,0.44196177,0.0304,0.8970339,0.7813496
0.60312027,0.094480135,6.535312E-4,0.003475646,0.19881095,0.613501,0.44515428,0.0305,0.8954539,0.78969395
0.5055611,0.053557165,8.037473E-4,0.003726655,0.21311621,0.61403936,0.43284532,0.0273,0.9014682,0.7892754
0.52067614,0.050025303,4.3324713E-4,0.003031724,0.17348668,0.58639544,0.43757206,0.0274,0.89918333,0.8100249
0.5104493,0.04612824,8.208225E-4,0.0037475445,0.21430624,0.63117206,0.45141003,0.0442,0.89231664,0.7756429
0.5137403,0.05106546,0.0012060605,0.004267258,0.24388736,0.6500406,0.44676134,0.0306,0.8946532,0.75989944
0.51524955,0.06596672,0.0011084812,0.0041480544,0.23710704,0.6681719,0.47422445,0.0294,0.880404,0.74400693
0.5220986,0.06275218,3.978016E-4,0.0029431942,0.16843288,0.5988298,0.45592082,0.0379,0.8900204,0.8008763
0.51257885,0.044151198,0.001516078,0.004597315,0.2626459,0.67873544,0.4641126,0.0611,0.8857762,0.7343829
0.46013334,0.068532385,0.0010100248,0.0040156767,0.22957416,0.6377349,0.4452672,0.0421,0.8953977,0.7702559
0.48602828,0.04253627,0.0012593655,0.004323333,0.24707593,0.6496796,0.4434589,0.0379,0.8962947,0.76020813
0.53224725,0.054741215,0.0016226555,0.0047099893,0.2690444,0.6601029,0.43594968,0.0325,0.89997107,0.75117517
0.56373245,0.053310048,0.0012263155,0.004284745,0.24488176,0.6519959,0.44816893,0.0411,0.89394885,0.75822246
0.59456164,0.06534502,0.0017051457,0.004789693,0.27356884,0.66461074,0.4372545,0.0273,0.8993378,0.74718976
0.6189558,0.06438922,8.4453326E-4,0.0037892035,0.21667923,0.59948915,0.4130106,0.0296,0.91072625,0.8003829
