Test data for UserID: 2f6b50f9-427a-40dc-8881-0352bfe59e25
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5139575,0.041531444,0.0034369628,0.006044494,0.34459585,0.7787302,0.51954234,0.0865,0.85444474,0.627359
0.4945509,0.04213964,0.0034650122,0.0060618822,0.34557715,0.81377953,0.5673678,0.0581,0.8234645,0.5811737
0.5000635,0.03836815,0.0019654431,0.0050151083,0.28635702,0.8049012,0.60372406,0.0519,0.79719335,0.5934089
0.5056308,0.035106864,0.0021499782,0.0051687383,0.29506588,0.8062874,0.59855956,0.0454,0.8010783,0.591524
0.5053852,0.030454887,0.0019688793,0.0050177583,0.28650728,0.8013973,0.5989036,0.0601,0.8008211,0.5981324
0.5037818,0.03216153,0.002669068,0.005554227,0.31689262,0.8055573,0.5797173,0.0612,0.81481767,0.59251785
0.51725805,0.035160188,0.0018065921,0.004875607,0.27844423,0.8046678,0.609765,0.0538,0.7925823,0.5937253
0.49746034,0.023555571,0.0015108594,0.0045926347,0.26238006,0.7876683,0.6003003,0.0664,0.79977465,0.61609954
0.4925362,0.018346338,3.066944E-5,0.0012479939,0.07148955,0.5613854,0.6190746,0.3524,0.7853322,0.82755446
0.56194055,0.14756119,0.0019119697,0.004968737,0.28372726,0.8309932,0.64130896,0.0559,0.7672827,0.5562826
0.48920926,0.12170305,9.334353E-4,0.003913937,0.22378248,0.80633557,0.6546187,0.0379,0.7559593,0.59145826
0.48344296,0.046411205,0.0012679645,0.0043356963,0.24777885,0.80721134,0.6373044,0.0411,0.7706121,0.59026253
0.47865736,0.041140344,0.0012420943,0.004304799,0.24602209,0.7994919,0.6286391,0.0422,0.77769715,0.60067683
0.4724446,0.043814156,7.525495E-4,0.0036423078,0.20831038,0.7633816,0.612993,0.039,0.7900883,0.6459478
0.46113184,0.044312265,8.259682E-4,0.0037578447,0.214893,0.7642769,0.6088505,0.0347,0.793285,0.6448882
0.46992472,0.036911745,7.3810824E-4,0.0036193302,0.20700097,0.7556962,0.6046641,0.0338,0.7964806,0.65492237
0.46682575,0.033857387,7.9863623E-4,0.0037194723,0.21270703,0.75888085,0.60397786,0.0326,0.79700106,0.6512295
0.5142057,0.051592994,0.0010541758,0.0040777414,0.23310634,0.78537506,0.62072295,0.0369,0.78403,0.61902016
0.4546391,0.03961025,0.0022366694,0.0052360604,0.29888037,0.80965954,0.6000532,0.1953,0.7999601,0.5868999
0.46805102,0.029757436,0.0011147829,0.00415591,0.23755395,0.80060464,0.63668185,0.0485,0.7711266,0.5991929
0.43992475,0.039653987,2.325458E-6,5.462745E-4,0.031297944,0.6492305,0.6251105,0.0928,0.7805363,0.7605917
0.58845246,0.19819003,0.0010812955,0.0041099926,0.23494151,0.7943594,0.6307094,0.0336,0.7760191,0.60744804
0.5114272,0.090330005,0.0011528444,0.004203768,0.24027638,0.78065157,0.60903996,0.0337,0.7931395,0.62496644
0.53264266,0.075704716,0.0012603438,0.0043247887,0.24715868,0.7699119,0.5898805,0.0412,0.8074905,0.6381502
0.49286607,0.048251778,0.001745072,0.0048247455,0.2755582,0.7811595,0.58110297,0.0463,0.81383,0.6243315
0.4643741,0.031502075,0.0010784514,0.004094053,0.23403452,0.4959355,0.68418366,0.208,0.7293098,0.8683594
0.46199012,0.022894574,0.0013601278,0.004433257,0.25332463,0.51330763,0.7124907,0.0844,0.7016816,0.85820466
0.47535,0.022511475,0.0010112894,0.0040158886,0.22958623,0.57919484,0.7498492,0.0907,0.66160876,0.8151891
0.47630978,0.017780447,7.747082E-4,0.003674218,0.21012866,0.5553492,0.71686816,0.0738,0.6972087,0.8316173
0.46258712,0.018552829,4.2073027E-4,0.002996837,0.17149526,0.51374143,0.6527783,0.0591,0.757549,0.8579451
0.4660979,0.013904419,7.63421E-4,0.0036557992,0.20907916,0.5242843,0.68988943,0.0918,0.72391474,0.85154325
0.4546865,0.017283576,4.5105364E-4,0.0030676029,0.17553456,0.5328788,0.67263186,0.0875,0.7399773,0.8461915
0.43006006,0.018921545,8.276729E-4,0.0037560938,0.21479326,0.52127355,0.69149095,0.0844,0.72238517,0.8533897
0.3954093,0.027511697,4.2673445E-4,0.0030114092,0.1723271,0.54044753,0.67687577,0.0676,0.7360973,0.84137774
0.40389258,0.025669677,0.001009959,0.004013692,0.22946121,0.51678944,0.6983317,0.1975,0.71577424,0.85611254
0.39844558,0.018740688,7.9445244E-4,0.0037047048,0.21186568,0.51889616,0.6873419,0.0897,0.726334,0.8548373
0.3934341,0.02341029,0.0010065114,0.0040097665,0.22923778,0.5200977,0.7009353,0.0907,0.7132249,0.8541068
0.39034766,0.02209044,0.0010432157,0.004058564,0.23201501,0.4998498,0.68599033,0.079,0.72761065,0.8661121
0.40502745,0.025878841,6.835364E-4,0.0035243519,0.20158759,0.49853122,0.6622623,0.0655,0.74927205,0.8668717
0.39494443,0.023325827,9.853218E-4,0.0039815507,0.22763172,0.50528216,0.6873506,0.0706,0.7263258,0.8629542
0.43326122,0.04334194,0.0014225523,0.0045019016,0.25722548,0.8044421,0.62629825,0.057,0.7795835,0.59403104
0.45804748,0.033757467,8.3305116E-4,0.0037663865,0.21537957,0.78436065,0.633344,0.0411,0.7738704,0.62030506
0.50939375,0.048847117,3.795768E-4,0.0028979792,0.16585131,0.75539494,0.63670266,0.0328,0.7711094,0.6552698
