Test data for UserID: 7796e45a-8310-48e9-9cca-5f9d4ce3f83a
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.4465184,0.05842886,0.020662498,0.011039851,0.6220445,0.9400732,0.55661696,0.096,0.8307693,0.34097272
0.4466896,0.046073966,0.019138418,0.010757018,0.6066228,0.94698375,0.5870275,0.1196,0.809567,0.3212815
0.44690546,0.030994698,0.019852882,0.010891104,0.613939,0.9461367,0.5786507,0.1778,0.8155755,0.32376745
0.44580352,0.03765182,0.016602492,0.010253747,0.5790838,0.9302439,0.57088274,0.1142,0.8210316,0.36694172
0.44284454,0.030885004,0.018834755,0.010699053,0.60345733,0.94416803,0.58270204,0.128,0.8126859,0.32946432
0.44797707,0.032908138,0.0098533295,0.008602327,0.48790327,0.9146509,0.6145114,0.129,0.78890795,0.40424466
0.44181848,0.038343653,0.014439755,0.009782633,0.55319524,0.9341767,0.60155076,0.1058,0.79883456,0.3568108
0.44046935,0.024591403,0.013398322,0.009538473,0.53973824,0.9246905,0.5921365,0.1544,0.8058377,0.38071978
0.4753234,0.03668108,0.013750812,0.009623638,0.54443526,0.9309334,0.6016512,0.091,0.798759,0.36518896
0.47784138,0.036252473,0.015554265,0.010030801,0.5668454,0.9478758,0.6223796,0.0921,0.78271556,0.3186401
0.4833741,0.03525653,0.012587272,0.009341014,0.52883583,0.93443346,0.6221331,0.1026,0.7829115,0.35613772
0.47644576,0.033961784,0.01226294,0.009258498,0.5242749,0.9378558,0.6333899,0.1366,0.77383286,0.34702528
0.48041436,0.03072293,0.009704477,0.008559769,0.4855382,0.9351828,0.6581329,0.109,0.7529018,0.35416538
0.47890073,0.036464527,0.013432013,0.009548241,0.5402772,0.934353,0.61261517,0.0836,0.7903813,0.3563488
0.47412145,0.02726714,0.009037747,0.00835665,0.47424036,0.9064147,0.6098855,0.0931,0.7924895,0.422389
0.46620753,0.029841952,0.0079554105,0.008005578,0.4546754,0.89659566,0.60783833,0.1237,0.7940608,0.44285014
0.45773724,0.02744537,0.0076172664,0.007889352,0.44818798,0.90784115,0.633509,0.1798,0.77373534,0.41931427
0.47133183,0.0397731,0.0078283725,0.00796263,0.45227876,0.9331,0.6792306,0.1016,0.7339249,0.35961705
0.46396956,0.029776981,0.016505703,0.010232989,0.5779453,0.95389074,0.6285093,0.1345,0.7778021,0.30015403
0.46021628,0.030027613,0.012409643,0.009296244,0.52636164,0.9403346,0.63729036,0.0962,0.7706238,0.34025103
