Test data for UserID: 0d9d4b6b-9f14-4d97-8f3d-17cd89d5e640
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.40210235,0.043791547,4.096596E-5,0.0013968045,0.08000965,0.13378617,0.054131057,0.3093,0.99853384,0.99101025
0.41975558,0.062356193,0.0024775877,0.0054160277,0.30907196,0.8220677,0.6089351,0.1478,0.79322004,0.56938976
0.40370128,0.03690584,0.004513631,0.0066201584,0.37703738,0.85415024,0.6008847,0.2365,0.7993357,0.5200263
0.552309,0.33948234,0.006074332,0.0073123565,0.41590962,0.86881053,0.59223336,0.581,0.80576646,0.49514472
0.41823086,0.057060376,0.0032039576,0.0059021357,0.33655843,0.82278246,0.5876262,0.2461,0.8091325,0.5683564
0.40704042,0.036240317,0.0058280854,0.0072119017,0.41027808,0.8798486,0.61495745,0.1351,0.78856033,0.47525412
0.46404845,0.042360652,0.0045968667,0.0066602817,0.37929478,0.8616903,0.6107325,0.9423,0.791837,0.5074346
0.472359,0.04529715,0.0016475292,0.0047266087,0.2699879,0.8065196,0.6189669,0.0823,0.7854171,0.59120727
0.4681874,0.03580006,6.306039E-5,0.0015939064,0.091292374,0.70442194,0.6367564,0.0802,0.771065,0.70978147
0.46731246,0.031747393,0.00478082,0.0067498633,0.38433304,0.8554428,0.596928,0.21,0.8022948,0.5178972
0.46659568,0.03649797,0.0033282859,0.0059788255,0.34088898,0.8470442,0.61928993,0.0865,0.7851624,0.5315224
0.47667816,0.035484765,0.0029244756,0.0057257763,0.32659364,0.8571366,0.6454573,0.079,0.7637963,0.5150891
0.449763,0.029429486,0.0058367695,0.0072157737,0.4104952,0.88135314,0.61728364,0.1615,0.7867407,0.47245803
0.44891447,0.0325826,0.0025356722,0.0054582437,0.31146145,0.83696437,0.6279982,0.1309,0.7782148,0.54725736
0.47261187,0.032428686,0.0022641276,0.005255904,0.30000454,0.8462945,0.6502014,0.0813,0.7597619,0.53271526
0.4782934,0.02924893,9.352134E-5,0.0018150173,0.10394598,0.7102596,0.6333497,0.172,0.7738657,0.7039398
0.4983386,0.033110533,0.0010312176,0.0040419353,0.23106866,0.82375026,0.67163134,0.1203,0.7408855,0.5669529
0.447573,0.048852045,0.0016676199,0.004750981,0.27137148,0.8631861,0.69565797,0.0316,0.7183732,0.5048859
1.4845712,1.5733215,0.00491426,0.0070869313,0.40326747,0.67835176,0.91340345,0.0094,0.4070555,0.7347373
0.43784085,0.13298115,0.0050167195,0.0068774703,0.39150554,0.866984,0.6092131,0.0306,0.79300654,0.49833593
0.38323888,0.054716285,2.4782654E-4,0.002530921,0.14488408,0.7103839,0.6012243,0.0453,0.7990803,0.70381445
0.49972898,0.071433716,0.0017533998,0.0048448816,0.27670085,0.7874884,0.58844316,0.0802,0.8085386,0.61632943
0.42837733,0.037105866,0.004131487,0.00642639,0.36612856,0.85627216,0.61296177,0.1278,0.79011256,0.5165249
0.28173652,0.05175411,4.49538E-5,0.0014576348,0.083492056,0.753885,0.69645035,0.0105,0.717605,0.6570064
0.4072814,0.09523521,5.3734243E-6,7.734074E-4,0.044309355,0.6511545,0.61689514,0.0073,0.78704536,0.7589452
0.41286975,0.03411043,0.003282396,0.0059572216,0.3396692,0.8614081,0.64169925,0.1034,0.7669563,0.5079135
0.42078045,0.04714972,0.0028616171,0.0056863925,0.3243672,0.84518975,0.6296587,0.0516,0.7768719,0.5344664
0.44292694,0.124845386,0.0046268445,0.006684538,0.38065928,0.858451,0.60458606,0.0402,0.7965398,0.5128955
0.43774474,0.094278544,0.004721117,0.0067686965,0.38539192,0.57742405,0.8432966,0.0918,0.53744847,0.8164444
0.47801778,0.10144171,0.009693353,0.0085757505,0.48642638,0.92892426,0.6443267,0.0515,0.76475036,0.37026986
0.28905466,0.1302573,4.1077356E-4,0.0030704762,0.17569855,0.7853249,0.6648518,0.0116,0.7469753,0.6190839
0.4350231,0.059730228,0.0013350133,0.0044193724,0.25253546,0.8031772,0.6283248,0.0274,0.7779511,0.5957402
0.41827005,0.03953891,0.0017870928,0.004857203,0.27740002,0.6057046,0.80099076,0.3305,0.59867674,0.7956896
0.4186674,0.05065087,0.0036411656,0.0061612506,0.3511835,0.60085887,0.84016573,0.1065,0.5423297,0.79935515
0.4225279,0.032414477,0.0016070085,0.0046869097,0.267734,0.627715,0.811757,0.0908,0.5839953,0.7784432
0.4196498,0.03762111,0.0027211236,0.0055894647,0.31888592,0.5846724,0.81033814,0.1869,0.58596253,0.81126946
0.41788206,0.029327488,0.0012408488,0.0042988174,0.24568199,0.63155603,0.8015378,0.1499,0.59794414,0.77533025
0.42008498,0.032138847,0.0010051668,0.004011374,0.22932927,0.6355639,0.7947366,0.038,0.60695446,0.7720483
0.6348775,0.11693403,8.449034E-4,0.003929187,0.22465073,0.66988045,0.8187173,0.0084,0.5741968,0.742469
0.4274816,0.037733845,0.0033939835,0.006019233,0.34317002,0.84222823,0.6103691,0.1066,0.7921172,0.5391211
0.5062667,0.24195556,4.0566138E-4,0.0029621504,0.16951509,0.73961025,0.61530465,0.1942,0.7882894,0.67303544
0.6173804,0.41748172,7.4104086E-5,0.0018232585,0.10441752,0.91980505,0.87387574,0.1054,0.4861494,0.39237565
0.58216554,0.31455836,0.012335095,0.009281488,0.52554595,0.9278738,0.6106489,0.5733,0.79190147,0.37289444
0.44541857,0.1221386,1.7713013E-6,6.322124E-4,0.03622112,0.5671665,0.5966214,0.171,0.80252284,0.82360315
0.4606022,0.06441804,0.0037504165,0.0062234136,0.3546893,0.8354544,0.5910693,0.0917,0.8066208,0.5495597
0.46910834,0.05237836,0.003127365,0.0058563496,0.33397222,0.8845322,0.6815994,0.0781,0.7317256,0.4664791
0.48628968,0.05848185,3.2407453E-4,0.0027538997,0.1576232,0.8422114,0.7470312,0.0432,0.66478896,0.5391474
0.44772667,0.042663388,0.0026149845,0.005516337,0.3147489,0.83493704,0.6225176,0.1024,0.7826058,0.5503455
0.45361245,0.03288409,0.005668052,0.0071466593,0.40661874,0.8789981,0.6164952,0.1171,0.7873587,0.47682524
0.47137174,0.06645347,0.004864625,0.006790546,0.38662028,0.8715636,0.62044734,0.0717,0.7842481,0.4902824
0.460379,0.06001519,1.4700884E-5,9.796115E-4,0.05612024,0.63690245,0.59265095,0.1489,0.8054594,0.7709444
0.44191164,0.10698514,0.0021750838,0.005189028,0.29621562,0.79535383,0.5828906,0.0549,0.8125506,0.60614544
0.47645968,0.06790946,0.0016672701,0.0047605983,0.2719174,0.79457825,0.60163826,0.0274,0.7987687,0.6071617
0.4586395,0.09056729,0.0056899735,0.007166136,0.40771133,0.56691265,0.8486049,0.0897,0.52902716,0.8237779
0.46176547,0.04723709,0.0035840876,0.006129065,0.34936792,0.607799,0.8438699,0.0961,0.53654784,0.7940909
0.44920963,0.03749099,0.0012899905,0.004362217,0.24928659,0.67190087,0.8342157,0.2619,0.5514383,0.74064106
0.72343355,0.350004,0.002480123,0.0056418623,0.32184932,0.6666422,0.8688871,0.0093,0.49501023,0.7453779
0.50853497,0.19714369,3.8870593E-4,0.0029703137,0.16998112,0.6137989,0.73863965,0.02,0.6741005,0.7894624
1.2945325,0.33438316,0.0010079972,0.0043982253,0.25133348,0.7179282,0.8688235,0.0074,0.4951219,0.6961172
0.4479512,0.05225969,1.0725004E-5,8.856892E-4,0.05074081,0.64100385,0.6012457,0.0484,0.79906416,0.76753765
0.52109814,0.13581872,0.0027160407,0.005585571,0.31866568,0.84564674,0.6347973,0.0876,0.77267873,0.53374296
0.48773092,0.06995838,5.503044E-4,0.0032768454,0.18747377,0.73647386,0.59727037,0.1572,0.80204,0.67646605
0.6134351,0.25936243,0.0025861098,0.0055071698,0.3142302,0.8191411,0.6006984,0.058,0.7994757,0.5735921
0.52710295,0.110693984,0.001126385,0.004175288,0.23865634,0.80169857,0.637235,0.0232,0.7706695,0.59772855
0.524204,0.16182931,0.006168843,0.007359593,0.4185565,0.8883944,0.62267935,0.0358,0.7824771,0.45908096
0.53112096,0.110236295,0.0053364956,0.0070121535,0.39907008,0.8815969,0.62682223,0.0337,0.7791623,0.472003
0.61180013,0.13078918,0.0026733757,0.00556352,0.3174183,0.86442065,0.66330814,0.0369,0.7483464,0.50276923
