Test data for UserID: b00b1169-05d0-459a-a428-70b49c607399
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.54854447,0.10150531,4.248032E-4,0.0030065905,0.17205203,0.6797968,0.54401994,0.0633,0.8390723,0.73340046
0.5282597,0.0856498,3.869266E-4,0.0029158127,0.16686955,0.64400756,0.50782794,0.0496,0.86145854,0.7650191
0.51565593,0.08909647,2.3662443E-4,0.0024742743,0.14164679,0.6202681,0.50321835,0.0506,0.8641593,0.78438985
0.5282436,0.10052104,2.977649E-4,0.0026719535,0.1529422,0.64038974,0.51577663,0.0379,0.85672307,0.76805013
0.95355994,0.2120987,2.5584287E-4,0.0025452047,0.1457003,0.6364158,0.51757395,0.0359,0.8556385,0.7713462
0.61437786,0.11054003,7.874478E-4,0.0036936875,0.21123798,0.6985414,0.5326464,0.0748,0.84633785,0.7155696
0.52573395,0.07703897,0.00117105,0.0042177686,0.24107273,0.69287115,0.5001768,0.0876,0.8659233,0.7210614
0.5776259,0.0738836,6.0389657E-4,0.0033832246,0.19354114,0.6590473,0.50182456,0.0379,0.86496943,0.7521015
0.5558398,0.08595904,1.8295723E-4,0.0022705821,0.13000305,0.6114565,0.50363845,0.0643,0.86391455,0.79127806
0.5601502,0.096176475,4.3606746E-4,0.0030347796,0.1736611,0.6587673,0.5186738,0.038,0.85497224,0.75234675
0.56027526,0.0952815,3.2289143E-4,0.0027448265,0.15710495,0.6504159,0.5234244,0.0411,0.8520721,0.7595782
0.63226414,0.104450114,0.0015796712,0.0046601053,0.26621196,0.7172135,0.50793946,0.0993,0.8613928,0.6968535
0.54280126,0.07463347,5.6642236E-4,0.0033092594,0.18932271,0.6729092,0.52143174,0.0813,0.853293,0.7397251
0.5279688,0.06552026,5.346358E-4,0.0032462487,0.18572837,0.6668122,0.51749986,0.075,0.85568327,0.7452258
0.46950984,0.06082665,6.929273E-4,0.0035411445,0.20254481,0.6820896,0.5207453,0.0475,0.8537121,0.7312686
0.5396732,0.08830839,7.994953E-4,0.0037140853,0.21240011,0.6844327,0.51501393,0.0475,0.8571818,0.729076
0.57020956,0.08292427,6.8199565E-4,0.0035248108,0.20161374,0.68321115,0.52285296,0.0381,0.8524229,0.73022085
0.5054051,0.07002938,0.0015064366,0.0045886035,0.2621511,0.5042038,0.71131504,0.1732,0.70287335,0.8635847
0.5040486,0.053917892,6.475308E-4,0.0034626098,0.19806772,0.50023276,0.6610824,0.2812,0.7503133,0.865891
0.49814293,0.054427605,4.91755E-4,0.0031606217,0.18084294,0.50614107,0.65319383,0.0696,0.75719076,0.8624507
0.5356979,0.08350239,6.228804E-4,0.003417521,0.19549686,0.5111504,0.6686058,0.0518,0.74361706,0.8594913
0.5334434,0.073737234,5.1146274E-4,0.003200495,0.18311803,0.5080019,0.65655196,0.0548,0.7542808,0.86135596
0.53310406,0.064837426,5.337825E-4,0.0032462445,0.18572813,0.5035577,0.6546412,0.0709,0.7559398,0.8639616
0.5437281,0.09045728,9.980028E-4,0.0040082075,0.22914904,0.50477487,0.6880326,0.0475,0.72567976,0.86325103
0.5132182,0.06658374,4.6674043E-4,0.003106983,0.17778204,0.5091725,0.6535309,0.0622,0.75689983,0.8606645
0.579937,0.09880525,3.7411155E-4,0.0028859049,0.16516186,0.522286,0.65552646,0.0507,0.7551722,0.8527704
0.5102725,0.16530338,2.6640715E-4,0.002583546,0.14789118,0.5312097,0.65035677,0.0253,0.7596289,0.8472404
0.6045846,0.24271746,0.0011220345,0.0041825725,0.23907071,0.49379668,0.68608516,0.0337,0.72752124,0.8695774
0.7262163,0.16819458,0.0011128447,0.004152259,0.23734623,0.5031914,0.6926775,0.0391,0.7212475,0.86417496
0.54182625,0.090895355,2.7565524E-4,0.0026034454,0.14902818,0.6227686,0.49957654,0.0632,0.86626977,0.7824061
0.4485551,0.081474654,2.3897292E-4,0.0024818582,0.14208022,0.61468667,0.4966967,0.058,0.86792415,0.7887714
0.5852017,0.10381742,3.4840405E-4,0.0028146536,0.16109307,0.63458073,0.5022494,0.0506,0.8647228,0.77285653
