Train data for UserID: e5287ac1-9ef4-4537-9f4b-27c0741834af,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.48165372,0.05647741,4.98E-06,6.83E-04,0.039139148,0.18831952,0.14974377,0.0687,0.9887248,0.9821078
0.48679733,0.0577301,1.97E-06,5.01E-04,0.028713029,0.18610151,0.15781628,0.0487,0.9874685,0.98253053
0.6444374,0.16730212,3.83E-04,0.002908354,0.16644365,0.68823814,0.5583714,0.0328,0.8295911,0.72548485
0.6388021,0.11331339,3.65E-04,0.002881142,0.16488992,0.7109729,0.5857486,0.0169,0.81049275,0.7032194
0.66029865,0.11401379,0.001074845,0.004108938,0.23488149,0.75717217,0.5839194,0.0243,0.8118116,0.65321535
0.5580268,0.08297305,6.26E-04,0.003427664,0.19607525,0.73912823,0.593487,0.0275,0.8048436,0.67356473
0.4834572,0.06682111,1.46E-04,0.002110486,0.120848276,0.69100666,0.59876543,0.0265,0.8009244,0.7228484
0.51205844,0.08572039,1.01E-04,0.001868123,0.10698446,0.68117625,0.59906477,0.0221,0.8007006,0.73211944
0.51364136,0.08420157,6.17E-05,0.001591274,0.09114172,0.6849855,0.6158076,0.0222,0.7878966,0.72855663
0.5810163,0.09845763,2.48E-04,0.00253015,0.14484002,0.723465,0.61614704,0.017,0.78763115,0.690361
0.60129416,0.097793244,2.51E-04,0.002558941,0.14648525,0.7146631,0.60480887,0.0148,0.7963707,0.69946885
0.4934626,0.09062757,3.77E-05,0.001347921,0.07721102,0.65812194,0.5980705,0.021,0.80144346,0.7529113
0.5375689,0.10264619,6.77E-05,0.001635669,0.09368263,0.65704405,0.5836154,0.0221,0.8120302,0.7538522
0.5003614,0.095401615,2.05E-04,0.002378739,0.13618624,0.68239695,0.5767503,0.0147,0.8169205,0.73098177
0.49131522,0.07157182,1.15E-04,0.001946811,0.11148624,0.6664498,0.57931876,0.0359,0.8151011,0.7455499
0.56160027,0.069209024,1.31E-04,0.002034824,0.11652079,0.68995094,0.6010662,0.0242,0.7991993,0.72385615
0.6316164,0.093571134,9.74E-05,0.00184474,0.10564661,0.7008142,0.62164605,0.0253,0.78329825,0.71334386
0.62538755,0.12809701,1.13E-04,0.001939572,0.111072086,0.6953554,0.61136556,0.019,0.79134834,0.718666
0.46622902,0.076340035,2.57E-04,0.002546509,0.14577484,0.7129235,0.60339713,0.0286,0.7974408,0.70124173
0.5709298,0.107342206,8.19E-05,0.001740994,0.099710226,0.7038717,0.6296339,0.0254,0.77689195,0.7103271
0.4657171,0.056033634,1.37E-04,0.002066308,0.11832159,0.7219208,0.6351351,0.0264,0.77240103,0.6919757
0.47594512,0.08126003,2.20E-04,0.002437074,0.13952063,0.7326345,0.63077426,0.0191,0.7759664,0.6806223
0.49646327,0.047494695,2.37E-04,0.002482555,0.14212003,0.7204702,0.61488503,0.0233,0.7886168,0.6934859
0.6063624,0.10379944,2.47E-04,0.002518533,0.14417613,0.7219932,0.61499333,0.0221,0.7885323,0.69190013
