Train data for UserID: f44eebf1-5eb7-4c1b-9742-5025df72f15a,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.555647,0.16365549,4.86E-05,0.001458755,0.083556175,0.5724238,0.63887835,0.1266,0.7693078,0.8199579
0.6028997,0.22143336,0.004149021,0.006466928,0.36841172,0.8350765,0.5791977,0.0232,0.8151871,0.5501338
0.7469589,0.2705917,5.43E-04,0.003295474,0.1885364,0.7457938,0.60749954,0.0158,0.79432005,0.66617686
0.6064895,0.20044017,6.70E-04,0.003516342,0.20113096,0.5921781,0.7414514,0.0473,0.6710066,0.8058071
0.5147472,0.10780012,1.69E-04,0.002210944,0.1265931,0.7001273,0.6043087,0.06,0.79675025,0.71401805
0.59172076,0.1727928,4.98E-04,0.003169428,0.18134543,0.73640716,0.6021165,0.0633,0.7984082,0.67653865
0.6043144,0.19630969,3.90E-04,0.002921782,0.16721034,0.72515965,0.60028744,0.0643,0.79978436,0.6885808
0.59602314,0.16737866,9.88E-04,0.003989421,0.2280797,0.7719727,0.60785925,0.0497,0.7940448,0.63565564
0.5429916,0.12167834,4.07E-04,0.002965185,0.16968834,0.7358629,0.6107818,0.0485,0.79179895,0.6771305
0.62420243,0.15616696,3.35E-04,0.00277748,0.15897,0.72702837,0.6090372,0.0517,0.79314166,0.6866074
0.548746,0.1322766,1.07E-04,0.001898485,0.10872157,0.6875223,0.60462606,0.0504,0.79650944,0.72616327
0.53304625,0.14591277,2.19E-05,0.001119504,0.06413188,0.6532033,0.6033254,0.0601,0.79749507,0.7571826
0.5009582,0.08123414,3.46E-05,0.001302842,0.07463001,0.65839314,0.6004267,0.0559,0.7996798,0.7526742
0.62995094,0.13005601,1.98E-05,0.001082992,0.0620409,0.65062135,0.6022779,0.0475,0.7982865,0.7594023
0.5586598,0.14556167,2.68E-04,0.002577846,0.14756548,0.71205705,0.60097784,0.0548,0.7992657,0.7021216
0.56663114,0.12761441,2.21E-04,0.002418109,0.13843663,0.71029824,0.60627997,0.0549,0.79525125,0.7039008
0.5711707,0.13583434,2.46E-04,0.002507564,0.14354928,0.70670384,0.598122,0.0602,0.8014051,0.7075095
0.6096664,0.13227819,4.74E-04,0.003120215,0.17853718,0.72742987,0.59381634,0.0496,0.8046006,0.686182
0.5059579,0.11318186,2.15E-04,0.002398107,0.13729338,0.7020852,0.59793323,0.0559,0.8015459,0.71209294
0.527545,0.09807353,2.24E-04,0.00243032,0.13913462,0.7230999,0.62022734,0.0485,0.7844221,0.6907435
0.5244511,0.09448751,2.98E-04,0.00267266,0.15298255,0.71690094,0.6021688,0.0591,0.7983688,0.697175
0.5056835,0.08823091,2.25E-04,0.002432896,0.13928185,0.6982272,0.59198815,0.0527,0.8059467,0.7158762
0.553439,0.10899587,4.30E-04,0.00302015,0.17282604,0.72653943,0.5973801,0.0432,0.8019582,0.6871248
0.5141232,0.07844524,2.42E-04,0.002494018,0.14277516,0.70357037,0.5951985,0.0654,0.80357873,0.7106256
0.61292565,0.18985185,6.74E-04,0.003529365,0.20187335,0.56555843,0.7196707,0.0167,0.6943155,0.8247082
0.5911425,0.1277371,7.01E-04,0.003555495,0.20336278,0.6029068,0.75184405,0.0422,0.659341,0.7978116
0.6197437,0.112592876,0.001333352,0.004412074,0.25212064,0.55675566,0.74682057,0.0326,0.6650256,0.8306763
0.54869765,0.15505517,9.36E-05,0.001819183,0.10418435,0.6967322,0.7675842,0.0305,0.6409482,0.7173313
0.63308644,0.11307069,3.54E-04,0.002835065,0.16225871,0.6289075,0.74636567,0.0422,0.6655361,0.7774801
0.599784,0.115603395,4.85E-04,0.003146101,0.18001433,0.5734599,0.7110436,0.04,0.70314795,0.8192336
0.5327824,0.08242541,1.80E-04,0.002260538,0.12942877,0.6328368,0.72754097,0.0496,0.68606424,0.7742852
0.5090131,0.10408505,0.001016313,0.004024709,0.23008823,0.5664219,0.73978883,0.0559,0.6728391,0.8241154
0.4933686,0.085979275,4.66E-04,0.003101338,0.17745987,0.6171862,0.7465457,0.057,0.66533417,0.78681713
0.5513246,0.14475189,2.79E-04,0.002614783,0.14967595,0.56459635,0.68146324,0.0391,0.73185235,0.82536715
0.48915848,0.056474604,1.91E-04,0.002302895,0.13185047,0.6372518,0.73310286,0.0634,0.6801178,0.7706557
0.5273187,0.120003395,5.93E-05,0.001560761,0.08939524,0.674295,0.73754966,0.0391,0.67529285,0.7384621
0.49424422,0.07284051,2.41E-04,0.002491049,0.1426055,0.59035015,0.699158,0.0486,0.7149672,0.80714726
0.5363934,0.10279445,2.01E-04,0.002344543,0.13423142,0.6590703,0.75385803,0.0421,0.6570373,0.75208133
0.6319134,0.20239171,0.001259936,0.004323532,0.24708726,0.5409136,0.73062927,0.0497,0.6827744,0.84107816
0.5110188,0.13391104,6.42E-04,0.003452364,0.19748358,0.6320686,0.7720279,0.0495,0.63558865,0.7749125
0.5504259,0.11050011,0.001056798,0.00407621,0.23301922,0.5584478,0.7352687,0.0517,0.67777574,0.8295397
0.5402782,0.10835553,3.43E-06,4.12E-04,0.02360645,0.64549774,0.66334635,0.0844,0.74831253,0.7637622
