Train data for UserID: 6f03d3a9-8702-4a15-8ffb-c48ad3844ef6,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.48333922,0.036752444,3.72E-04,0.002876635,0.16463257,0.7201114,0.5965085,0.0835,0.80260676,0.69385844
0.5037634,0.03150555,3.59E-04,0.002843852,0.16276051,0.73812765,0.6189068,0.0792,0.7854644,0.6746611
0.50970316,0.031329416,4.25E-04,0.003005884,0.1720117,0.75608784,0.6327429,0.0697,0.77436197,0.65447015
0.5388223,0.06297773,3.97E-04,0.002938495,0.16816458,0.7623807,0.64316213,0.059,0.76573,0.64712876
0.495847,0.03382955,2.16E-04,0.002398551,0.1373187,0.7495104,0.65175444,0.0484,0.75843006,0.66199255
0.7528669,0.08884746,5.60E-04,0.003310365,0.18938576,0.573508,0.71767074,0.0294,0.69638264,0.8191999
0.6316337,0.21800058,3.45E-04,0.002809046,0.16077283,0.6488886,0.5185689,0.0527,0.85503584,0.76088345
0.5806138,0.12542453,1.88E-04,0.002291641,0.13120705,0.65200204,0.5471207,0.0486,0.8370537,0.7582172
0.54925674,0.11194703,1.87E-04,0.002288778,0.13104336,0.65709305,0.5528817,0.0496,0.83325976,0.75380945
0.5311264,0.074257016,1.90E-04,0.002297566,0.13154583,0.65793914,0.5533977,0.0518,0.83291715,0.7530711
0.6200038,0.08601025,1.48E-04,0.002117811,0.12126719,0.6517913,0.5551991,0.0466,0.8317175,0.7583984
0.5221991,0.07057013,1.72E-04,0.002226707,0.1274944,0.6412051,0.5383574,0.0497,0.84271663,0.76736957
0.62553287,0.07695419,1.12E-04,0.00192679,0.11034089,0.6495012,0.5617762,0.0454,0.8272892,0.76036054
0.51327634,0.07836831,2.31E-04,0.002454087,0.14049302,0.6753546,0.5653327,0.0537,0.82486296,0.7374932
0.5615186,0.071625955,1.89E-04,0.002295832,0.13144664,0.6525592,0.54753494,0.0465,0.8367828,0.75773776
0.54259336,0.104344904,2.35E-04,0.00246897,0.14134364,0.6733925,0.56243396,0.0634,0.8268422,0.7392852
0.5861631,0.12130441,3.70E-04,0.002870259,0.16426848,0.685585,0.5571529,0.0581,0.83040994,0.72799253
0.586831,0.097798705,4.13E-04,0.002978293,0.17043667,0.69701433,0.5651224,0.0676,0.8250071,0.71705717
0.56056374,0.11424446,2.04E-04,0.002356,0.13488638,0.6850625,0.58079153,0.0642,0.81405234,0.7284843
0.58378947,0.1132519,2.12E-04,0.00238682,0.1366482,0.68669146,0.5811761,0.0538,0.8137778,0.726949
0.58688,0.12457102,3.61E-04,0.002847841,0.16298829,0.69754285,0.57187796,0.0497,0.82033867,0.7165431
0.51966333,0.08260169,1.67E-04,0.002202272,0.1260972,0.67060584,0.5719198,0.0475,0.8203096,0.7418139
0.5581979,0.11527661,2.55E-04,0.002536891,0.14522521,0.6881745,0.57582825,0.0494,0.8175707,0.7255452
0.600231,0.16077606,3.07E-04,0.002699047,0.15448995,0.7038685,0.58605784,0.0475,0.81026924,0.7103303
0.59353125,0.1076643,1.76E-04,0.002241823,0.12835869,0.67815226,0.57842654,0.0528,0.81573445,0.73492146
0.55052334,0.06848436,1.54E-04,0.00214629,0.122895904,0.67932814,0.5841832,0.0484,0.81162184,0.7338346
0.5880295,0.101367325,1.49E-04,0.002122494,0.12153501,0.69370997,0.60121226,0.0507,0.7990894,0.7202545
0.5432071,0.08451182,2.10E-04,0.002376708,0.13607015,0.7005764,0.5972192,0.0518,0.80207807,0.7135774
0.53683716,0.08468079,1.44E-04,0.002096141,0.12002784,0.6796405,0.5868576,0.0493,0.8096901,0.73354536
0.615855,0.087899186,1.53E-04,0.002137827,0.12241191,0.6962699,0.60335314,0.0453,0.79747415,0.71778005
0.5183995,0.06672251,7.95E-05,0.001720864,0.09855829,0.677037,0.601303,0.0475,0.7990211,0.735949
0.62181777,0.09408541,2.28E-04,0.002445073,0.13997784,0.694108,0.5867891,0.0538,0.8097398,0.71987087
0.5770426,0.09804602,1.67E-04,0.002203622,0.12617438,0.70079553,0.60538846,0.0401,0.79593015,0.7133622
0.6328399,0.09027922,1.36E-04,0.00205628,0.11774806,0.6828217,0.5922124,0.0465,0.8057819,0.7305851
0.5087807,0.08255111,2.32E-04,0.002457654,0.14069688,0.7121686,0.60659397,0.0526,0.7950118,0.7020085
0.5084419,0.06313806,9.52E-05,0.00182778,0.104676224,0.68390447,0.6038936,0.0463,0.79706496,0.7295715
0.5336611,0.05918607,1.52E-04,0.002133762,0.12217942,0.6865133,0.5927164,0.0581,0.8054112,0.72711724
0.54117584,0.063365296,2.25E-04,0.002431568,0.13920593,0.6782959,0.56968486,0.0549,0.8218632,0.73478884
0.5730052,0.09606315,6.21E-04,0.003412809,0.19522819,0.7060176,0.5549638,0.0655,0.8318745,0.70819426
0.5730368,0.0850266,3.73E-04,0.002879628,0.16480345,0.71207476,0.5870891,0.0601,0.80952233,0.7021037
0.57948667,0.08262398,3.62E-04,0.002849988,0.16311094,0.7095028,0.5855028,0.0549,0.8106704,0.7047026
0.5311793,0.06688866,2.98E-04,0.002670232,0.15284383,0.72109985,0.60709167,0.0581,0.7946318,0.69283116
