Train data for UserID: 118039e5-7b7c-45d7-b186-5e42d114ba73,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.25889403,0.06358734,1.36E-05,9.54E-04,0.054653198,0.10964522,0.055178065,0.1301,0.9984765,0.9939708
0.19018051,0.059971996,9.55E-06,8.50E-04,0.048674997,0.09212303,0.043560248,0.0868,0.9990508,0.9957476
0.2261325,0.05870209,1.58E-06,4.67E-04,0.026757814,0.08832401,0.061641537,0.0488,0.9980984,0.9960918
0.17956702,0.039064668,6.23E-06,7.36E-04,0.042150978,0.08860831,0.046553742,0.0899,0.9989158,0.9960666
0.24970815,0.0505796,2.11E-06,5.14E-04,0.029460143,0.08934114,0.05996322,0.0539,0.9982006,0.99600106
0.24426907,0.04812324,6.86E-06,7.60E-04,0.04351503,0.08687743,0.043454934,0.0931,0.9990554,0.996219
0.20581937,0.04571916,2.41E-06,5.36E-04,0.030724838,0.10542073,0.07482095,0.0655,0.997197,0.9944277
0.2707499,0.060357638,2.97E-06,5.75E-04,0.032951325,0.11268703,0.07988886,0.0623,0.99680376,0.9936305
0.25337207,0.05204247,7.30E-06,7.76E-04,0.04446439,0.12192917,0.07768691,0.055,0.9969778,0.9925388
0.18291277,0.04375761,1.72E-06,4.79E-04,0.02743875,0.109578766,0.08226657,0.0845,0.99661034,0.99397814
0.21443583,0.045446523,2.56E-06,5.47E-04,0.031355586,0.11055151,0.079337604,0.0708,0.9968478,0.9938704
0.27648658,0.06179979,4.45E-06,6.60E-04,0.037822496,0.12204758,0.08442725,0.0591,0.9964296,0.99252427
0.22780308,0.049482025,4.79E-06,6.74E-04,0.03862599,0.12517053,0.08676209,0.0759,0.99622905,0.9921352
0.2813902,0.05155071,4.37E-06,6.54E-04,0.03745457,0.12576295,0.08852407,0.0707,0.996074,0.9920603
0.17451656,0.046027564,2.05E-07,2.36E-04,0.013519082,0.08951454,0.076041855,0.0803,0.99710464,0.9959855
0.2486834,0.062631726,4.36E-06,6.54E-04,0.037458442,0.115160726,0.07787723,0.056,0.99696296,0.99334687
0.26984972,0.053862926,2.51E-06,5.43E-04,0.031120805,0.120323844,0.08937461,0.0719,0.9959981,0.9927347
0.24394207,0.050366975,2.98E-06,5.75E-04,0.03296462,0.100712985,0.06786571,0.0497,0.9976945,0.99491554
0.20748766,0.04452573,1.12E-06,4.16E-04,0.023830045,0.095126316,0.071379006,0.0591,0.9974493,0.9954652
0.25641268,0.052337274,7.65E-07,3.66E-04,0.020959783,0.09904486,0.07816752,0.0581,0.99694026,0.995083
0.3025666,0.074484795,7.27E-07,3.60E-04,0.020641727,0.10128966,0.080733605,0.0633,0.9967357,0.99485695
0.29436067,0.06449446,1.91E-07,2.31E-04,0.013218628,0.100624405,0.08746436,0.0665,0.99616766,0.9949245
0.2601003,0.058266647,1.07E-06,4.09E-04,0.023453768,0.110120155,0.08678034,0.1298,0.99622744,0.9939183
0.38221318,0.07479557,3.08E-06,5.83E-04,0.033386707,0.119212374,0.08600193,0.0486,0.996295,0.9928688
0.2956365,0.059474166,5.89E-06,7.22E-04,0.041380815,0.12221451,0.08104806,0.0581,0.9967102,0.9925037
0.22883037,0.05569293,3.95E-06,6.32E-04,0.036224127,0.12086267,0.084830694,0.0665,0.9963954,0.9926692
0.19183508,0.048762083,3.69E-07,2.87E-04,0.016417831,0.08205754,0.06568457,0.2292,0.99784046,0.99662757
0.20985375,0.04769157,2.94E-06,5.75E-04,0.032931123,0.083368845,0.050511606,0.0411,0.99872345,0.99651873
0.20652874,0.03964387,3.64E-06,6.15E-04,0.035258695,0.09101085,0.05584737,0.0464,0.9984393,0.9958499
0.26582298,0.08430408,8.87E-07,3.85E-04,0.022055237,0.08999833,0.068012044,0.0422,0.9976845,0.99594194
0.3371149,0.06883376,2.37E-07,2.48E-04,0.014199948,0.084932454,0.070775606,0.0549,0.99749225,0.9963867
0.2592242,0.049379416,1.69E-07,2.21E-04,0.012684425,0.080489635,0.067840144,0.0559,0.9976962,0.9967554
0.28211892,0.07906857,8.34E-07,3.77E-04,0.021574575,0.09435127,0.07285223,0.0835,0.99734277,0.99553895
0.22275482,0.04091098,2.08E-06,5.11E-04,0.029249914,0.1058315,0.07670368,0.0549,0.9970539,0.99438405
0.18880601,0.040185813,1.71E-06,4.78E-04,0.027402544,0.113336176,0.086070195,0.0676,0.9962891,0.9935567
0.1730172,0.048143417,2.42E-06,5.37E-04,0.030748112,0.10479372,0.07416899,0.0675,0.99724567,0.99449396
0.30259445,0.08253173,1.65E-06,4.72E-04,0.027058665,0.102473356,0.07552208,0.0655,0.9971441,0.9947358
0.21676406,0.05423019,1.86E-06,4.92E-04,0.028203804,0.09361947,0.0655051,0.0591,0.9978522,0.99560803
0.20303589,0.04103914,4.27E-08,1.40E-04,0.008016769,0.09805939,0.090078175,0.0665,0.9959347,0.99518055
0.16810495,0.036420844,1.17E-06,4.21E-04,0.024115773,0.09922468,0.07520081,0.0738,0.9971684,0.99506503
0.2288164,0.046983898,5.57E-07,3.29E-04,0.018848239,0.09600058,0.07722318,0.0696,0.9970138,0.9953813
0.2505844,0.048281893,9.80E-07,3.97E-04,0.022767998,0.119412735,0.09677817,0.0559,0.99530596,0.9928447
0.21365814,0.043000743,6.08E-07,3.38E-04,0.019386642,0.09280064,0.07348113,0.0823,0.99729663,0.9956847
0.18961436,0.03899262,1.71E-06,4.79E-04,0.027446948,0.1188269,0.09153223,0.0771,0.9958021,0.992915
0.21204376,0.056049135,6.18E-06,7.35E-04,0.042082656,0.08553362,0.12737703,0.0496,0.99185437,0.99633527
0.16537184,0.03151533,4.32E-06,6.50E-04,0.03724323,0.07667281,0.11374679,0.1046,0.99350977,0.9970563
0.18288381,0.035421424,2.34E-05,0.001144176,0.065544695,0.07704034,0.14218964,0.0844,0.98983943,0.997028
