Train data for UserID: 91ee8879-1fea-4ee3-8afd-606e6b07bcb1,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.7481817,0.2767228,0.014179069,0.009730098,0.550302,0.8714883,0.48007074,0.0507,0.87722975,0.49041635
0.58177227,0.13324283,0.00606344,0.007308199,0.4156766,0.80389726,0.49261326,0.1521,0.8702483,0.59476817
0.6094868,0.09711478,0.007562345,0.007872225,0.44723156,0.81046593,0.47406498,0.0929,0.8804899,0.5857858
0.6809766,0.17781022,0.004982149,0.006859056,0.3904708,0.8010807,0.5107901,0.0347,0.85970545,0.5985564
0.68883926,0.13389215,0.003272345,0.005955753,0.3395863,0.78307164,0.5297875,0.0432,0.84813046,0.6219315
0.5477415,0.122932136,0.00353383,0.006105287,0.3480264,0.76018095,0.49147657,0.0538,0.8708908,0.6497114
0.5707638,0.13410819,0.00652795,0.007498218,0.42631993,0.8046452,0.4842112,0.0454,0.8749511,0.59375596
0.83597517,0.2599621,0.001698465,0.004805785,0.27448216,0.6951938,0.4735687,0.0211,0.88075686,0.71882236
0.5771028,0.11812587,0.006385391,0.007440918,0.42311177,0.8070837,0.4906738,0.1416,0.8713433,0.59043705
0.6359476,0.13352354,0.007044626,0.00769756,0.4374719,0.81441456,0.48877224,0.056,0.87241143,0.58028346
0.6045,0.08689423,0.003752346,0.006227884,0.3549414,0.75059146,0.47249997,0.0601,0.88133067,0.6607666
0.6007799,0.10004627,0.00241383,0.005373356,0.30665618,0.72374314,0.48060164,0.0422,0.87693906,0.69006944
0.6183434,0.089514166,0.007593478,0.007895894,0.44855326,0.8265849,0.4974103,0.0888,0.86751544,0.5628121
0.5622983,0.13175857,0.004776307,0.006764338,0.38514692,0.39822343,0.7153657,0.0453,0.69875026,0.9172884
0.6654405,0.30076683,0.005740255,0.007203766,0.40982184,0.40970722,0.74121493,0.0497,0.67126775,0.9122171
0.5443553,0.15759137,0.003055399,0.005829645,0.33246356,0.456259,0.72276896,0.0602,0.6910897,0.88984704
0.56379205,0.09780008,0.00528338,0.00697994,0.3972613,0.36221156,0.69653755,0.095,0.71752036,0.93209594
0.56626546,0.100718416,0.005106104,0.006909309,0.39329433,0.39554983,0.7191239,0.1142,0.69488186,0.9184445
0.5452957,0.118528865,0.003431419,0.006058761,0.345401,0.4149678,0.69975096,0.0505,0.7143869,0.9098361
0.5702403,0.24569075,0.005588663,0.007132222,0.40580884,0.3388138,0.68478024,0.0358,0.72874963,0.9408534
0.68329734,0.15180764,0.004955301,0.006844731,0.3896658,0.38066828,0.7051914,0.0369,0.709017,0.92471164
0.7072181,0.2012387,0.001809355,0.004913584,0.28059885,0.48788607,0.7111932,0.0262,0.7029966,0.87290734
0.753237,0.26809552,0.005110291,0.006915281,0.3936298,0.77352095,0.46900302,0.0422,0.8831966,0.6337707
0.725228,0.31881183,0.003218622,0.005923564,0.33776864,0.7626648,0.50383085,0.038,0.8638023,0.6467939
0.64713365,0.2409862,0.002044346,0.005087962,0.2904876,0.72513753,0.4966331,0.0433,0.8679606,0.68860406
0.6275632,0.23622854,0.006760088,0.007586173,0.4312422,0.76566726,0.42360592,0.0558,0.9058466,0.6432368
0.6167355,0.122147836,0.0037039,0.00619789,0.35325,0.7441346,0.46543455,0.0888,0.8850823,0.6680297
0.6065938,0.13950321,0.001354434,0.004427719,0.2530099,0.7000456,0.49841687,0.074,0.8669375,0.71409816
0.78330296,0.19098109,0.00105832,0.004087115,0.23363975,0.68959844,0.50273514,0.0337,0.8644405,0.72419196
0.67492515,0.14595012,5.03E-04,0.003189053,0.18246523,0.6711867,0.5253183,0.0411,0.8509058,0.74128836
0.6916131,0.16983318,0.003221204,0.005919651,0.33754763,0.7428974,0.47786036,0.0517,0.8784358,0.6694053
0.66641307,0.15523222,0.001128239,0.004187618,0.23935774,0.5617494,0.74225664,0.0411,0.6701157,0.82730746
0.6050736,0.16944589,0.004866189,0.006795906,0.38692158,0.78264314,0.48776183,0.0866,0.8729767,0.6224706
0.60025483,0.12262409,0.005557525,0.007099497,0.4039726,0.79220617,0.48612016,0.0993,0.87389195,0.6102535
0.67652875,0.17942646,0.001882764,0.004943651,0.2823044,0.70479786,0.47844923,0.0485,0.87811524,0.70940816
0.59799457,0.13983412,0.005393361,0.007035813,0.4003983,0.7855063,0.47976905,0.0686,0.8773948,0.6188536
0.577785,0.12516683,0.001376414,0.004450816,0.25432256,0.6952757,0.49148184,0.1204,0.8708878,0.7187431
0.6567165,0.14153428,0.004229408,0.006486455,0.36951134,0.780399,0.5000506,0.0624,0.8659962,0.6252819
0.683482,0.1777049,0.005674943,0.00715262,0.40695313,0.79243773,0.48379028,0.0612,0.87518394,0.6099528
