Train data for UserID: 11b640cb-df78-43fa-ab6a-de3ed2ffd8a9,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.46595666,0.02894209,5.67E-05,0.001532142,0.087757096,0.79161865,0.7350011,0.5731,0.67806596,0.6110155
0.46992296,0.024043297,7.95E-04,0.003705707,0.21192276,0.8384056,0.70472115,0.0561,0.7094844,0.5450468
0.4675531,0.016590774,8.03E-04,0.003717116,0.21257275,0.8366064,0.70191574,0.0708,0.71225995,0.5478045
0.48355535,0.020757927,6.60E-04,0.003486316,0.19941925,0.8134743,0.6818947,0.0517,0.7314503,0.58160084
0.4964352,0.03172057,2.05E-04,0.002361419,0.1351962,0.81208324,0.72594947,0.0497,0.687748,0.5835416
0.47471842,0.020397296,0.001148464,0.004188822,0.2394262,0.83505243,0.6803399,0.2928,0.7328968,0.5501704
0.49637282,0.037745345,1.24E-04,0.001997263,0.11437231,0.84332085,0.77644086,0.0465,0.63019013,0.5374104
0.47648883,0.036082968,1.26E-05,8.41E-04,0.048164934,0.8439676,0.8171607,0.076,0.5764098,0.5363942
0.47605926,0.047487393,0.001572775,0.004666129,0.26655397,0.84999716,0.68063605,0.0275,0.7326217,0.5267872
0.48267603,0.0368619,5.67E-04,0.003313927,0.18958893,0.8262312,0.7050618,0.0338,0.7091459,0.5633312
0.43271005,0.03619771,8.05E-04,0.003731436,0.2133886,0.81476504,0.67320037,0.0283,0.7394601,0.57979125
0.44400752,0.027072737,5.71E-04,0.003321773,0.19003645,0.8024594,0.6750865,0.0327,0.7377386,0.59670675
0.46049035,0.045351055,0.002125703,0.005158669,0.29449528,0.83162713,0.633804,0.0243,0.7734937,0.5553344
0.4544348,0.019331094,0.002619241,0.005518195,0.31485403,0.87864643,0.6866353,0.1247,0.727002,0.47747293
0.46282938,0.035406034,6.16E-04,0.003414666,0.19533406,0.8585992,0.74256027,0.02,0.66977924,0.5126475
0.4529951,0.053579718,0.001742377,0.004849033,0.2769364,0.6736097,0.85048735,0.0231,0.52599555,0.7390872
0.4532529,0.062422525,0.004998063,0.00695473,0.3958456,0.69652396,0.9203671,0.0116,0.3910554,0.7175335
0.43670142,0.029637694,1.22E-04,0.001982594,0.11353323,0.7675693,0.6899688,0.0432,0.72383904,0.64096594
0.4540285,0.04235868,4.01E-04,0.002965126,0.16968496,0.8096739,0.6987918,0.0189,0.7153251,0.58687997
0.47032684,0.029760692,1.53E-04,0.002142368,0.12267161,0.8138385,0.7365659,0.0243,0.6763658,0.5810911
0.43458623,0.017897991,1.64E-05,0.001648321,0.094406724,0.82099974,0.87118053,0.1956,0.49096283,0.5709286
0.4368139,0.024449885,5.07E-04,0.003227036,0.18463232,0.7986539,0.89567673,0.1119,0.44470572,0.6017906
0.4964319,0.024323013,0.001903639,0.004962439,0.28337005,0.8945547,0.73326194,0.0473,0.67994624,0.44695857
0.4531003,0.015207522,0.002228665,0.005228371,0.29844475,0.88247204,0.7043653,0.3044,0.7098377,0.4703648
0.40079355,0.021720484,0.001189688,0.004241397,0.2424166,0.8709667,0.7271439,0.0412,0.6864851,0.49134207
0.40900818,0.015228863,6.05E-04,0.003385601,0.19367668,0.8105353,0.6824322,0.0633,0.7309489,0.5856897
0.41294172,0.013369011,1.46E-05,8.33E-04,0.04773305,0.8899479,0.867171,0.1289,0.49801052,0.45606226
0.41724128,0.016490849,0.001941301,0.004992892,0.28509715,0.88876694,0.7233048,0.0645,0.69052887,0.45835936
0.44254586,0.022214046,2.42E-05,0.001252656,0.071756504,0.6512425,0.7039846,0.091,0.7102152,0.7588697
0.42573923,0.01684609,2.22E-04,0.002422669,0.13869727,0.7649031,0.66841984,0.1268,0.7437842,0.6441453
0.48418808,0.038815625,0.001816764,0.004894972,0.27954295,0.9068566,0.75476986,0.0274,0.65598965,0.42143926
0.39570203,0.0961467,0.003546841,0.006178209,0.35214,0.69614834,0.9018375,0.0127,0.43207532,0.71789795
0.45809567,0.060208987,0.003004595,0.005791958,0.3303341,0.85776377,0.6434898,0.0253,0.7654547,0.5140441
0.3933938,0.059681367,0.003664976,0.006184287,0.35248283,0.89924943,0.691611,0.0317,0.7222702,0.43743616
0.3982207,0.019488905,6.81E-04,0.003519713,0.20132312,0.84494996,0.72069687,0.0645,0.69325036,0.53484535
0.3765206,0.016645368,9.57E-04,0.003941548,0.22535446,0.89582,0.7735596,0.091,0.6337236,0.44441697
0.38205692,0.03748183,0.001172016,0.004223163,0.24137953,0.85763294,0.70942336,0.0348,0.7047826,0.5142623
0.36065236,0.021713745,7.81E-04,0.003687603,0.21089128,0.8579372,0.7311164,0.0359,0.6822527,0.51375455
0.3635738,0.036128186,0.001353135,0.004430018,0.25314054,0.86988014,0.7181484,0.0401,0.69589,0.49326319
0.37711358,0.03392433,1.93E-05,4.09E-04,0.023429215,0.85834754,0.87013197,0.0517,0.49281883,0.5130687
0.38427785,0.057083104,0.001831389,0.00492101,0.28102008,0.8497062,0.6694549,0.0222,0.74285275,0.5272565
0.8382089,0.10346515,1.84E-04,0.002379498,0.13622965,0.7913466,0.8670965,0.0096,0.49814025,0.61136776
0.37658885,0.014171597,0.003501706,0.006081242,0.34666964,0.88000536,0.6649628,0.1258,0.7468765,0.47496372
0.46540788,0.033834185,8.63E-04,0.003807403,0.2177158,0.8585476,0.7272331,0.2315,0.6863905,0.51273376
0.50155056,0.021669226,5.85E-04,0.003345801,0.19140686,0.8411301,0.72267807,0.0455,0.69118476,0.5408328
0.4853511,0.026936008,0.001027819,0.004044551,0.23121749,0.8255926,0.67393035,0.0391,0.73879486,0.5642667
0.45983496,0.012253115,0.003142739,0.005864464,0.3344306,0.89591116,0.6993366,0.1522,0.7147925,0.44423333
0.44392043,0.011724635,0.002759139,0.005614972,0.32032862,0.9014071,0.71825725,0.1078,0.69577765,0.4329725
0.44969764,0.01865754,0.001976656,0.005022947,0.2868015,0.8889104,0.7223312,0.0823,0.6915473,0.4580811
0.45514157,0.020972066,0.001115208,0.004149803,0.23720653,0.8880637,0.7548004,0.0528,0.65595454,0.4597204
0.4606748,0.01709024,0.002753829,0.005611963,0.32015842,0.9236289,0.7551619,0.2274,0.6555383,0.38328794
0.48157212,0.012360964,0.00331326,0.005968944,0.34033105,0.9104157,0.71895146,0.222,0.69506025,0.41369456
0.4460683,0.014366677,0.002980334,0.005761511,0.32861346,0.9154838,0.73563135,0.0994,0.6773821,0.40235496
0.45350635,0.011869106,0.002270667,0.005260401,0.30025923,0.9162935,0.7560959,0.167,0.65446085,0.40050742
0.46649766,0.025885237,0.001979106,0.005024529,0.28689122,0.92048466,0.7716521,0.1924,0.6360448,0.39077875
