Train data for UserID: 617c6be8-240c-47bd-ae80-146e77c87576,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.62181723,0.18979244,5.61E-05,0.001529775,0.0876216,0.23525126,0.1492675,0.0612,0.98879683,0.9719346
0.63172805,0.16989793,5.83E-05,0.001551098,0.08884211,0.21079352,0.123201475,0.0529,0.9923817,0.9775306
0.49349174,0.09562538,1.84E-06,5.02E-04,0.028780129,0.16758452,0.13914494,0.0592,0.99027205,0.9858577
0.4982818,0.12507457,2.63E-05,0.001191346,0.06824586,0.20958498,0.14240563,0.0634,0.9898084,0.9777904
0.542755,0.08727392,1.81E-05,0.001062744,0.06088135,0.21361458,0.15377018,0.0634,0.98810667,0.97691804
0.64833033,0.18729237,1.75E-05,0.001039844,0.05956984,0.19715232,0.13842778,0.0611,0.99037254,0.98037285
0.576885,0.12502103,1.66E-05,0.001021338,0.058510005,0.21718757,0.15972689,0.0866,0.9871612,0.9761299
0.5708227,0.084752224,7.77E-05,0.001709667,0.09791751,0.2052396,0.2999738,0.0634,0.9539474,0.9787118
0.53666955,0.091202416,2.25E-04,0.002431999,0.13923055,0.27734703,0.14121486,0.0634,0.98997897,0.96076983
0.59683424,0.11457118,2.25E-05,0.001064368,0.060974315,0.21409614,0.15416536,0.058,0.98804504,0.9768126
0.5403205,0.08427085,5.37E-05,0.001509265,0.08644758,0.2343456,0.14950818,0.0677,0.9887605,0.97215337
0.4994608,0.08241037,1.20E-05,9.20E-04,0.052681558,0.19612192,0.14420924,0.0624,0.9895472,0.9805795
0.55469805,0.088611305,1.51E-04,0.002132108,0.12208481,0.27973533,0.16065836,0.0465,0.98701006,0.96007717
0.5261355,0.07116958,9.52E-05,0.001828576,0.10472179,0.27488005,0.17282316,0.0433,0.98495287,0.96147853
0.48958248,0.09221924,6.52E-06,7.55E-04,0.043247484,0.20056888,0.15802255,0.0592,0.9874355,0.9796796
0.5361563,0.10489118,8.26E-05,0.001742038,0.09976998,0.24102303,0.1431153,0.0813,0.98970604,0.9705194
0.55887395,0.10138207,8.65E-05,0.001770305,0.10138753,0.25261995,0.1533486,0.0665,0.9881722,0.9675656
0.5661582,0.11145159,2.73E-05,0.001207472,0.06916925,0.20485878,0.13670695,0.1365,0.99061155,0.97879153
0.5328613,0.1126092,1.49E-04,0.002122213,0.12151895,0.23834215,0.11878349,0.0708,0.99292016,0.9711813
0.50680476,0.072129615,1.67E-05,0.001022267,0.05856321,0.20431852,0.14666495,0.0804,0.9891862,0.9789045
0.508794,0.047825806,5.35E-07,3.29E-04,0.018823314,0.1511757,0.13254276,0.1036,0.99117726,0.9885069
0.4998202,0.096834056,7.48E-05,0.001685064,0.09650957,0.21400851,0.11884807,0.147,0.9929125,0.9768318
0.5293298,0.10248886,6.06E-06,7.33E-04,0.042003717,0.1827138,0.14126511,0.0687,0.9899718,0.98316616
0.5652258,0.100435205,6.91E-06,7.64E-04,0.04375745,0.18923631,0.1460986,0.0909,0.98927003,0.98193157
0.5594956,0.10513323,3.92E-05,0.001360484,0.07793025,0.20084721,0.12395307,0.0698,0.99228805,0.9796226
0.54249364,0.08938593,5.56E-05,0.00152576,0.08739175,0.2146256,0.12853234,0.0645,0.9917053,0.9766964
0.5123034,0.06832918,9.60E-06,8.50E-04,0.048682317,0.17537412,0.12725267,0.1205,0.99187034,0.98450184
0.50178826,0.03987578,1.75E-06,4.83E-04,0.027644671,0.14789228,0.12049771,0.3936,0.99271363,0.9890035
0.497432,0.052751742,3.62E-05,0.001325081,0.07590329,0.17413288,0.24832106,0.0286,0.96867776,0.98472214
0.5617714,0.07615068,9.88E-07,4.29E-04,0.024560586,0.20816484,0.23212281,0.0169,0.97268647,0.97809374
0.51084906,0.03206229,1.57E-05,0.001000358,0.057308458,0.17227863,0.22842415,0.0929,0.9735617,0.98504823
0.49595982,0.03382442,5.20E-05,0.00149161,0.085436925,0.16643044,0.24999146,0.1185,0.96824807,0.98605317
0.4994391,0.045761067,7.20E-05,0.001665712,0.095402025,0.18342158,0.2762636,0.0635,0.9610819,0.9830344
0.52801293,0.058176327,7.98E-05,0.001721661,0.098603934,0.20562346,0.3010034,0.091,0.95362306,0.9786312
0.5215713,0.050646704,4.01E-05,0.001369263,0.07843286,0.20392668,0.28002504,0.0761,0.9599927,0.97898614
0.5160873,0.06472688,3.52E-05,0.001325673,0.07593722,0.2145079,0.2880055,0.1808,0.9576287,0.97672224
0.5113929,0.055597175,8.39E-07,3.23E-04,0.01852418,0.17184924,0.15357193,0.1406,0.9881375,0.9851233
0.53728986,0.07076207,4.65E-05,0.001436834,0.08230129,0.21302673,0.13196121,0.2973,0.99125487,0.9770464
0.5062597,0.05854558,1.99E-05,0.001084536,0.06212935,0.20152289,0.14030862,0.0973,0.99010783,0.9794838
0.5599981,0.1395585,1.83E-04,0.002270619,0.13000515,0.24466646,0.11681151,0.0802,0.9931541,0.9696073
0.5167026,0.05541924,3.86E-05,0.001351003,0.07738742,0.20303635,0.1267096,0.146,0.99193984,0.9791712
0.48771393,0.041931175,2.66E-06,5.56E-04,0.031834587,0.16851328,0.13705254,0.0878,0.99056375,0.98569936
0.49584895,0.059936523,5.12E-06,6.90E-04,0.039509308,0.19242048,0.15350689,0.0635,0.98814756,0.9813126
0.48070708,0.06677107,3.50E-06,6.09E-04,0.03488388,0.17592114,0.14147949,0.0655,0.9899412,0.98440427
0.5034339,0.042878855,2.19E-05,0.001119483,0.06413064,0.2196756,0.15669192,0.055,0.98764753,0.975573
0.503678,0.048317917,3.09E-05,0.001254436,0.07185839,0.20785157,0.13707128,0.072,0.9905612,0.9781604
0.5488614,0.11500234,8.69E-05,0.001772765,0.10152831,0.1565182,0.2558592,0.0644,0.9667141,0.9876751
0.54642475,0.10450256,2.95E-05,0.001236837,0.07085069,0.1774039,0.24664173,0.0771,0.96910673,0.98413813
0.5166845,0.06397555,8.84E-05,0.001782637,0.10209315,0.18006814,0.27942315,0.0719,0.96016806,0.98365414
0.51852,0.056472808,6.38E-05,0.001599228,0.09159695,0.17996652,0.26921844,0.0835,0.96307915,0.98367274
0.512179,0.06042944,9.22E-05,0.001807632,0.10352341,0.18723372,0.28778672,0.0962,0.95769453,0.9823154
0.54333746,0.070525184,1.47E-04,0.002111701,0.12091775,0.17952473,0.296948,0.093,0.95489365,0.98375344
0.53832823,0.06697864,2.33E-05,0.001147271,0.06572197,0.2355966,0.29892525,0.0529,0.95427656,0.97185093
