Train data for UserID: ec5f1a3c-3f8f-4340-b366-65d7793a41b2,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.5242319,0.06333848,0.001431266,0.004508304,0.25758928,0.7320938,0.5337964,0.25,0.845613,0.6812038
0.48947516,0.06740852,6.61E-04,0.003484703,0.1993273,0.71386564,0.5607937,0.0656,0.8279556,0.7002827
0.49366787,0.07839336,4.17E-04,0.002989915,0.17110012,0.6962473,0.5636901,0.0392,0.8259863,0.717802
0.497026,0.062361807,0.001776306,0.004848285,0.276894,0.76066226,0.553488,0.0518,0.83285713,0.64914787
0.50756127,0.18860556,7.73E-04,0.003671536,0.20997585,0.7302691,0.5715161,0.0477,0.82059085,0.68315965
0.48323962,0.06477814,4.21E-04,0.003000372,0.17169705,0.7363096,0.6097074,0.0296,0.79262656,0.6766448
0.5199175,0.060478624,4.69E-04,0.003109663,0.17793499,0.7403269,0.60946524,0.036,0.79281276,0.67224705
0.49019694,0.04659237,5.34E-04,0.003247286,0.18578753,0.7392815,0.6019549,0.038,0.7985301,0.6733965
0.49026746,0.03237219,0.001443909,0.00452257,0.2583998,0.7866727,0.6022182,0.0785,0.7983315,0.61737025
0.504724,0.062173862,8.06E-04,0.003722945,0.21290483,0.76832765,0.61541724,0.0454,0.7882015,0.6400567
0.5111825,0.087906554,5.94E-04,0.003363924,0.19244045,0.749549,0.60887516,0.0391,0.79326606,0.66194886
0.48431343,0.054597843,4.42E-04,0.003048499,0.1744442,0.7180389,0.58616275,0.0391,0.81019336,0.6960029
0.48287064,0.05861534,7.94E-05,0.001719028,0.09845324,0.6832825,0.60817206,0.0381,0.79380524,0.73015416
0.6034335,0.16668217,2.49E-04,0.002520239,0.14427361,0.7377152,0.63289034,0.0282,0.77424145,0.67511207
0.53590465,0.10772299,0.001241299,0.00430033,0.245768,0.7631549,0.58249146,0.0571,0.8128368,0.6462156
0.48758206,0.061986934,6.43E-04,0.003454406,0.19759998,0.7604876,0.6179565,0.0391,0.78621227,0.64935243
0.52397466,0.14564182,8.19E-04,0.003742469,0.21401712,0.7319787,0.57023674,0.1304,0.8214804,0.68132746
0.4838076,0.040659677,1.68E-04,0.002207706,0.12640792,0.73373175,0.6421548,0.0328,0.766575,0.67943925
0.52090764,0.043977514,1.32E-04,0.002040527,0.11684701,0.71331507,0.62669396,0.0286,0.77926546,0.70084345
0.48410016,0.037495967,1.95E-04,0.002322021,0.13294393,0.7216755,0.62347364,0.0413,0.7818444,0.6922315
0.4918253,0.031080134,1.89E-04,0.002294491,0.13137,0.71432483,0.61642486,0.0688,0.7874137,0.69981426
0.5001906,0.0307856,8.24E-05,0.001741449,0.09973629,0.69711274,0.62222743,0.0445,0.78283656,0.7169615
0.54696727,0.06023951,2.94E-04,0.002660106,0.15226535,0.7213678,0.6078598,0.0403,0.7940444,0.69255215
0.51685077,0.029649945,1.38E-04,0.002071295,0.11860681,0.7025506,0.61335295,0.0328,0.7898089,0.7116338
0.53518486,0.03501484,0.001206318,0.004258095,0.24336624,0.7749042,0.59927297,0.2035,0.80054474,0.6320787
0.63022643,0.102372766,1.35E-04,0.002052852,0.11755198,0.7079146,0.62014025,0.0401,0.784491,0.70629805
0.5681053,0.047880158,1.11E-04,0.001923287,0.11014047,0.6914085,0.607763,0.0454,0.79411846,0.722464
0.56450146,0.027333766,0.0010849,0.004109981,0.23494083,0.76976436,0.59958893,0.1522,0.8003081,0.63832814
0.58303666,0.048475705,0.001692706,0.00476823,0.2723506,0.7979624,0.6057494,0.2697,0.7956555,0.6027072
0.56133765,0.059224628,5.26E-04,0.003228781,0.18473183,0.79727924,0.6726459,0.0888,0.73996454,0.60361063
0.54539573,0.044791225,4.08E-04,0.002966918,0.16978727,0.788546,0.6731419,0.0423,0.73951334,0.61497575
0.5720013,0.043498494,1.98E-04,0.002339486,0.13394237,0.76056814,0.6669777,0.0232,0.74507767,0.64925814
0.54594207,0.03487658,1.50E-04,0.002132371,0.1220999,0.74411875,0.6571556,0.0231,0.753755,0.66804737
0.5947498,0.042054255,9.17E-05,0.001808174,0.10355442,0.72176117,0.646313,0.0211,0.76307243,0.6921422
0.5750167,0.066176645,1.17E-04,0.001961736,0.11234003,0.7165645,0.63380706,0.0265,0.7734912,0.69752085
