Train data for UserID: d0ffaef5-b2f5-4f62-8f76-4f8100814f03,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.47261482,0.03364047,5.65E-04,0.003307057,0.18919706,0.6966042,0.54900473,0.1287,0.83581924,0.7174557
0.4651856,0.04601169,8.18E-04,0.003741836,0.21398103,0.7060928,0.53927314,0.0644,0.8421309,0.70811933
0.45492142,0.036775332,4.86E-04,0.003143722,0.17987858,0.6790357,0.53653556,0.0921,0.84387773,0.7341052
0.46285325,0.030296322,4.38E-04,0.003035882,0.173724,0.68949807,0.55374295,0.1029,0.8326877,0.72428757
0.45265514,0.036554426,4.33E-04,0.003025878,0.17315298,0.6662021,0.52756745,0.09,0.8495132,0.7457712
0.45900518,0.02593257,3.99E-04,0.002944313,0.16849676,0.6567243,0.5207849,0.1127,0.85368794,0.7541308
0.4491716,0.030437304,6.11E-04,0.003394136,0.19416337,0.68920493,0.5361939,0.1215,0.8440948,0.72456646
0.44957414,0.022479607,3.88E-04,0.002914672,0.16680442,0.66992486,0.537196,0.1563,0.84345746,0.7424289
0.4377718,0.025858602,5.68E-04,0.003310545,0.18939602,0.6788635,0.52824605,0.1172,0.84909135,0.73426443
0.43696812,0.0296566,3.84E-04,0.002905872,0.16630198,0.65746415,0.5235004,0.0824,0.85202545,0.75348586
0.48844078,0.033664506,4.72E-05,0.001444639,0.08274811,0.630626,0.56430227,0.0621,0.82556826,0.77608687
0.4970216,0.025326632,2.40E-04,0.002486263,0.14233194,0.6249833,0.5078247,0.0813,0.86146045,0.7806381
0.5008161,0.024146264,5.40E-04,0.003256655,0.18632199,0.6607845,0.5100741,0.0792,0.8601305,0.75057566
0.47003096,0.03573367,4.71E-04,0.003110782,0.17799883,0.65992326,0.5162632,0.076,0.85643,0.751333
0.44626844,0.042431984,6.22E-04,0.003415219,0.19536558,0.66972005,0.5125519,0.0623,0.8586562,0.7426136
0.4267933,0.030775819,3.51E-04,0.002821364,0.16147627,0.66204166,0.53278434,0.0707,0.8462511,0.7494671
0.40651813,0.02767447,0.001095039,0.004122746,0.23566717,0.7296335,0.5493364,0.2038,0.83560133,0.6838384
0.41271156,0.03049697,5.34E-04,0.003245215,0.1856694,0.66812783,0.5190615,0.0686,0.8547369,0.7440465
0.41392294,0.02893961,4.02E-04,0.002950925,0.16887422,0.6551416,0.5186699,0.0717,0.85497457,0.7555061
0.4076912,0.02172792,0.00106393,0.004083296,0.23342241,0.7016291,0.5173279,0.1234,0.8557873,0.71254236
0.41671976,0.026626153,8.36E-04,0.003767927,0.2154673,0.688964,0.5177102,0.1752,0.855556,0.7247956
0.42698318,0.028309556,6.02E-04,0.003376082,0.19313382,0.6636678,0.50749594,0.1034,0.86165416,0.74802744
0.41317263,0.027176473,0.001395388,0.004470703,0.25545266,0.71823096,0.5185071,0.193,0.85507333,0.6958048
0.4287873,0.04276574,3.23E-04,0.002745217,0.15712729,0.6455745,0.5179785,0.0548,0.85539365,0.76369727
0.5041657,0.21038663,3.10E-04,0.002706395,0.15490972,0.6619339,0.53822607,0.0475,0.8428005,0.7495622
0.5436291,0.16665253,2.31E-04,0.002455781,0.14058985,0.62296736,0.50710666,0.0431,0.8618833,0.78224784
