Train data for UserID: b00b1169-05d0-459a-a428-70b49c607399,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.56585956,0.16554175,0.002878929,0.00569653,0.3249403,0.8231873,0.59768856,0.0612,0.80172837,0.56776994
0.5320982,0.09334409,0.002008701,0.005050414,0.2883589,0.7659226,0.5506208,0.0866,0.8347555,0.6429328
0.5228775,0.07934666,0.001665945,0.004744706,0.27101526,0.7506635,0.5456916,0.096,0.8379861,0.6606847
0.5556712,0.065757595,0.001455636,0.004535809,0.25915197,0.7467686,0.55078745,0.077,0.83464557,0.66508394
0.5385158,0.07787427,0.001670253,0.004748314,0.27122012,0.7476165,0.5416574,0.078,0.84059936,0.6641307
0.53188306,0.0669035,0.001433273,0.004511686,0.25778142,0.7392095,0.5424874,0.0813,0.8400639,0.6734756
0.54772854,0.06936823,0.001439854,0.004519128,0.25820428,0.7382756,0.5409643,0.0696,0.84104556,0.67449915
0.5212096,0.060293667,0.001042266,0.004056858,0.23191793,0.71947104,0.5401367,0.0707,0.8415773,0.6945225
0.4883744,0.054790832,9.40E-04,0.003918184,0.22402431,0.7204427,0.5479779,0.0791,0.8364928,0.69351447
0.50705457,0.06277713,6.70E-04,0.003500742,0.20024171,0.6986274,0.54207087,0.0813,0.84033275,0.7154857
0.5503004,0.07320835,0.001299252,0.004366,0.24950165,0.7323,0.5409278,0.0676,0.841069,0.6809822
0.5342699,0.054895937,0.00125126,0.004310734,0.24635953,0.7309672,0.5419464,0.1015,0.84041303,0.68241256
0.5485887,0.05656787,0.001048798,0.004065218,0.2323937,0.7234268,0.54453385,0.0664,0.83873886,0.690401
0.5030834,0.058730975,8.40E-04,0.00377372,0.21579732,0.56729454,0.73076034,0.0897,0.6826341,0.823515
0.5222236,0.058073997,7.32E-04,0.003604243,0.20614119,0.5496094,0.70922947,0.0822,0.70497775,0.83542174
0.5222907,0.07182928,8.38E-04,0.003771231,0.21565549,0.55070335,0.7168558,0.0718,0.69722146,0.83470106
0.56227773,0.060490288,7.56E-04,0.003642855,0.20834155,0.5542326,0.7146761,0.0792,0.69945556,0.8323618
0.529856,0.060079973,7.37E-04,0.003613342,0.20665969,0.5415802,0.70281357,0.0707,0.7113741,0.84064907
0.511397,0.054667976,7.56E-04,0.003644105,0.20841277,0.5403937,0.70306385,0.0971,0.71112674,0.84141225
0.50268424,0.046027116,4.66E-04,0.003100041,0.17738588,0.55130476,0.69004166,0.0855,0.72376966,0.8343039
0.48460323,0.051313385,4.13E-04,0.002978273,0.17043552,0.5550525,0.688246,0.0823,0.72547734,0.8318153
0.5635043,0.05867406,8.32E-04,0.003762669,0.21516782,0.54497784,0.71172285,0.059,0.7024604,0.83845043
0.5077163,0.049329054,5.35E-04,0.003247845,0.18581942,0.5445666,0.6903408,0.0623,0.7234843,0.83871764
0.53481585,0.052356802,7.32E-04,0.003605622,0.20621976,0.5469117,0.7070076,0.0644,0.70720595,0.8371903
0.5364277,0.050860476,8.36E-04,0.003769831,0.21557575,0.5510412,0.7170821,0.0634,0.6969887,0.834478
0.5420532,0.055165008,9.92E-04,0.003991369,0.22819059,0.5450292,0.72090864,0.0793,0.6930301,0.83841705
0.577203,0.07691552,9.42E-04,0.003923217,0.22431083,0.5448708,0.7180655,0.0623,0.69597554,0.83852005
0.5171597,0.04943104,8.35E-04,0.00376705,0.21541734,0.5650241,0.7286156,0.0824,0.6849229,0.82507443
0.53505504,0.05089075,3.11E-04,0.002711602,0.15520714,0.582859,0.7015755,0.0538,0.7125951,0.8125733
0.5099804,0.040435575,4.82E-05,0.001455616,0.08337649,0.6392931,0.7011287,0.0549,0.7130347,0.76896316
0.6003699,0.08261846,5.71E-04,0.003319377,0.1898998,0.5570372,0.70399016,0.0612,0.7102097,0.83048755
0.4893818,0.05924355,2.53E-04,0.002529349,0.14479423,0.6560403,0.5401701,0.0718,0.8415559,0.7547259
0.5345977,0.06864601,8.97E-04,0.003857434,0.22056513,0.7176117,0.547482,0.076,0.83681744,0.69644344
0.59204227,0.077246524,0.001104539,0.004135746,0.23640676,0.73145556,0.5509427,0.0613,0.8345431,0.68188906
0.50637484,0.058448676,9.20E-04,0.003890198,0.22243083,0.7172063,0.5454225,0.0823,0.8381613,0.6968609
0.51081854,0.0471959,4.00E-04,0.002946374,0.16861439,0.70621693,0.57722455,0.0644,0.8165855,0.70799553
0.54027385,0.06687469,6.58E-04,0.003479831,0.19904953,0.70692676,0.5528362,0.0568,0.83329,0.7072868
0.5187575,0.058951434,5.79E-04,0.00333324,0.19069046,0.71852267,0.5734372,0.076,0.8192495,0.69550353
0.54361814,0.059648935,8.64E-04,0.003811084,0.2179255,0.7204702,0.55313367,0.0485,0.8330925,0.6934859
0.55217934,0.084960654,0.001527658,0.004609783,0.2633541,0.7548477,0.5574414,0.056,0.8302163,0.6559001
0.5529662,0.056900673,0.001553929,0.004634686,0.26476842,0.74502873,0.5438599,0.0813,0.83917606,0.6670324
0.56251895,0.065240264,0.002324171,0.005303572,0.30270454,0.773099,0.5478903,0.0581,0.8365502,0.63428533
0.5601606,0.080078825,0.001810405,0.00487973,0.27867818,0.7646399,0.557104,0.0665,0.8304427,0.6444578
0.53695065,0.06640238,0.002381842,0.005345712,0.30509087,0.77041286,0.5423249,0.0792,0.84016883,0.6375453
0.56260484,0.09403274,0.002819505,0.005656682,0.3226873,0.7888849,0.5521063,0.0729,0.83377373,0.614541
0.6857926,0.14125305,0.002163373,0.005182236,0.2958307,0.80301917,0.5935188,0.037,0.8048201,0.59595317
0.5104442,0.0888629,0.001403618,0.004481742,0.25607997,0.529174,0.7273219,0.0517,0.68629646,0.84851336
0.5106056,0.049925532,6.91E-04,0.003536271,0.20226702,0.54259354,0.70052654,0.0623,0.7136264,0.8399954
0.5591159,0.060298074,8.75E-04,0.003827886,0.2188824,0.5443245,0.71379733,0.0496,0.7003523,0.8388747
0.55553406,0.094743825,6.37E-04,0.003442119,0.19689944,0.54755276,0.700898,0.0527,0.7132615,0.83677113
0.54979104,0.06773436,6.50E-04,0.003465702,0.198244,0.55173206,0.70541584,0.0634,0.7087937,0.83402145
0.54527503,0.061317366,6.21E-04,0.003414366,0.19531696,0.5455856,0.6980828,0.0517,0.716017,0.83805513
0.5392599,0.046955153,5.07E-04,0.003188919,0.18245755,0.54998994,0.692583,0.0707,0.72133815,0.8351713
0.5492008,0.049668122,1.77E-04,0.002248617,0.12874718,0.5756268,0.6759159,0.0505,0.73697877,0.81771255
0.6096922,0.08965537,5.27E-04,0.003237753,0.18524371,0.5456322,0.6908419,0.0422,0.72300583,0.8380248
0.59114826,0.080418535,6.54E-04,0.003479409,0.19902551,0.50916576,0.66952616,0.0591,0.74278843,0.8606685
0.52763337,0.07868303,0.003814202,0.00625792,0.35663486,0.780127,0.510973,0.0897,0.8595968,0.62562126
0.62523687,0.10955801,0.002695952,0.00557203,0.3178997,0.75683725,0.51345545,0.0759,0.85811627,0.6536034
0.53745776,0.08593304,0.001643873,0.004723144,0.26979125,0.7256428,0.515295,0.0623,0.85701287,0.6880716
0.5576998,0.11862443,0.001079811,0.004106713,0.2347549,0.6996131,0.5137573,0.0476,0.85793555,0.7145219
0.5341569,0.10561205,6.53E-04,0.003470417,0.19851287,0.6783429,0.51984084,0.0506,0.8542631,0.7347455
0.53290534,0.08711839,7.89E-04,0.003696947,0.21142367,0.68156356,0.51248634,0.0738,0.8586954,0.7317589
0.5321306,0.06547076,9.81E-04,0.003977452,0.22739838,0.6988283,0.5191592,0.0506,0.85467756,0.7152895
0.545284,0.09721698,6.90E-04,0.003534173,0.20214742,0.6773539,0.5155647,0.0528,0.8568507,0.73565733
0.54459965,0.08367092,5.26E-04,0.003229408,0.18476763,0.669702,0.52164334,0.0602,0.85316366,0.74262995
0.61737084,0.09867799,6.75E-04,0.003508606,0.20068999,0.6746618,0.5136883,0.0654,0.85797685,0.738127
0.52995265,0.06522287,0.001233215,0.004290255,0.24519508,0.7069048,0.5135347,0.0919,0.8580688,0.70730865
0.5492313,0.08070943,0.001432354,0.004511377,0.2577639,0.7165233,0.51441264,0.055,0.8575428,0.6975632
0.5566554,0.05740692,0.001651435,0.004730027,0.27018198,0.7280411,0.5179473,0.0793,0.85541254,0.68553346
0.57391113,0.08578426,0.003419013,0.006032798,0.34393573,0.7825654,0.5253462,0.0919,0.85088855,0.62256837
0.52838105,0.07388987,0.002027144,0.005065457,0.28921175,0.5636298,0.7764437,0.0835,0.63018656,0.8260275
0.5319785,0.05472352,9.67E-04,0.003956033,0.2261791,0.529529,0.70661944,0.0951,0.70759374,0.8482918
