Train data for UserID: ad4edd26-58d3-4816-b95b-fe87d90b6bff,,,,,,,,,
Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
0.66660446,0.18629166,8.96E-04,0.003874511,0.22153759,0.7045785,0.5310471,0.0189,0.8473423,0.7096261
0.48749447,0.06459386,6.01E-04,0.003416612,0.19544505,0.69997466,0.54769313,0.0137,0.8366793,0.71416765
0.46492213,0.100677684,8.30E-04,0.003781924,0.2162646,0.72248995,0.5569498,0.0191,0.83054614,0.6913814
0.507818,0.08052372,0.001381792,0.004478497,0.25589558,0.7283094,0.5305528,0.02,0.8476519,0.68524843
0.5998214,0.114225276,0.001729021,0.004851602,0.2770822,0.7276807,0.5115246,0.0169,0.8592686,0.68591607
0.49299368,0.102577,0.00223891,0.005253449,0.29986545,0.7625831,0.5365102,0.0232,0.8438938,0.64689034
0.5190216,0.09014451,8.20E-05,0.001815418,0.103968926,0.6253175,0.5409132,0.0096,0.8410784,0.7803705
0.58050084,0.08181139,8.54E-04,0.003812712,0.21801816,0.70845324,0.53866506,0.0243,0.84252,0.7057578
0.63732624,0.3334129,0.022237351,0.011342045,0.63847667,0.49378604,0.9192966,0.0317,0.3935654,0.8695834
0.62006086,0.14994667,0.004371854,0.00655481,0.37335965,0.81746036,0.5492153,0.057,0.8356809,0.57598484
0.63628626,0.15302885,0.016119441,0.010159211,0.57389724,0.9038093,0.519708,0.0412,0.85434395,0.42793548
0.64610463,0.10405651,0.004935205,0.006831131,0.38890153,0.86697173,0.6112969,0.0327,0.7914013,0.49835736
0.67031896,0.1588469,0.005477988,0.00708265,0.4030272,0.5626504,0.84330004,0.0265,0.53744304,0.82669497
0.516687,0.07157989,0.00662833,0.007543737,0.42886764,0.5530243,0.851172,0.0328,0.5248869,0.8331651
0.6864701,0.1374851,0.006306152,0.007440915,0.4231116,0.5864372,0.86890525,0.0243,0.49497846,0.8099947
0.4889839,0.12410843,0.02957783,0.01247426,0.6996068,0.5153966,0.95091915,0.1173,0.3094394,0.8569518
0.5447298,0.3199491,0.05452044,0.015352871,0.85156655,0.9883351,0.5126356,0.0804,0.8586063,0.15229502
0.7221774,0.3374011,0.042174093,0.014069734,0.784485,0.966769,0.48480335,0.0528,0.8746232,0.2556516
0.8521658,0.3844669,0.009419075,0.008487001,0.48149255,0.8650779,0.53036946,0.0305,0.84776664,0.5016375
0.6559223,0.3897905,0.022432672,0.011363428,0.6396376,0.92676663,0.5095272,0.038,0.86045456,0.3756376
0.8410386,0.40110952,0.020990312,0.011113868,0.6260736,0.91084015,0.48690015,0.0434,0.8734576,0.4127592
0.776905,0.4031661,0.007581789,0.007897677,0.44865283,0.846007,0.52774835,0.0284,0.8494008,0.53317183
0.82666314,0.35728306,0.011249338,0.009013848,0.51073486,0.8612433,0.49796945,0.037,0.8671946,0.5081929
0.6012623,0.276079,0.04565577,0.014449697,0.8044638,0.9770146,0.50386614,0.0751,0.86378175,0.21317244
0.72675043,0.2866155,0.021020452,0.01111276,0.6260133,0.92960787,0.5283306,0.0476,0.8490387,0.36855015
0.5566627,0.17071344,0.058748104,0.015748296,0.8720113,0.9883238,0.4929885,0.0963,0.8700358,0.1523683
0.6516067,0.27538192,0.05166491,0.015073445,0.8370532,0.9839416,0.5035469,0.0699,0.8639679,0.17849076
